from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5795172;5785643;78;5433;78;78;5433;34;14621
5795173;5785643;-1;-1;-1;-1;-1;35;14712
5795174;5785643;92;6452;92;92;6452;33;14346
5795175;5785643;91;6389;91;91;6389;34;14483
5795176;5785643;160;11196;160;160;11196;17;5075
5797069;5785643;89;6250;89;89;6250;38;20266
5797070;5785643;74;5149;74;74;5149;39;16663
5797071;5785643;75;5266;75;75;5266;34;14953
5797072;5785643;-1;-1;-1;-1;-1;34;14669
5797073;5785643;74;5145;72;65;5374;34;14754
5797074;5785643;76;5309;74;64;5310;33;14380
5797075;5785643;79;5518;78;67;5519;35;14713
5797076;5785643;83;5800;83;83;5800;31;13825
5797077;5785643;82;5741;82;82;5741;35;14257
5797078;5785643;-1;-1;-1;-1;-1;36;14795
5797079;5785643;-1;-1;-1;-1;-1;34;14631
5797080;5785643;89;6255;89;89;6255;30;13842
5797081;5785643;89;6240;89;89;6240;34;14462
5797082;5785643;158;11060;153;138;14263;17;5062
5798974;5785643;88;6188;88;88;6188;-1;-1
5798975;5785643;79;5510;79;79;5510;39;17010
5798976;5785643;79;5505;79;79;5505;41;16897
5798977;5785643;-1;-1;-1;-1;-1;35;14993
5798978;5785643;-1;-1;-1;-1;-1;33;14464
5798979;5785643;79;5512;76;65;5610;34;14822
5798980;5785643;77;5402;76;66;5404;34;14198
5798981;5785643;84;5902;83;71;5995;36;14586
5798982;5785643;81;5675;81;81;5675;30;13686
5798983;5785643;79;5550;79;79;5550;33;13626
5798984;5785643;79;5542;79;79;5542;35;13617
5798985;5785643;84;5908;84;84;5908;31;13509
5798986;5785643;82;5769;82;82;5769;31;13775
5798987;5785643;86;6025;86;86;6025;34;14235
5798988;5785643;159;11125;148;132;13846;18;5554
5800879;5785643;89;6251;89;89;6251;35;16409
5800880;5785643;92;6468;92;92;6468;-1;-1
5800881;5785643;82;5715;82;82;5715;40;20036
5800882;5785643;109;7633;106;91;8792;35;14215
5800883;5785643;110;7668;106;92;8827;34;13992
5800884;5785643;-1;-1;-1;-1;-1;33;14281
5800885;5785643;81;5635;77;65;5621;32;13983
5800886;5785643;83;5779;82;67;5765;34;13941
5800887;5785643;86;6052;85;71;6037;36;14575
5800888;5785643;78;5435;78;78;5435;31;12802
5800889;5785643;76;5290;76;76;5290;31;13391
5800890;5785643;77;5366;77;77;5366;33;13303
5800891;5785643;80;5577;80;80;5577;29;13180
5800892;5785643;79;5513;79;79;5513;31;13617
5800893;5785643;81;5675;81;81;5675;33;13783
5800894;5785643;158;11047;148;131;13756;18;5560
5800895;5785643;154;10807;147;127;13516;18;5460
5802783;5785643;96;6710;96;96;6710;36;16342
5802784;5785643;93;6529;93;93;6529;38;16573
5802785;5785643;96;6747;96;96;6747;-1;-1
5802786;5785643;-1;-1;-1;-1;-1;39;19788
5802787;5785643;108;7532;105;90;8691;32;14026
5802788;5785643;105;7334;103;87;8493;32;13779
5802789;5785643;105;7335;103;87;8494;34;14522
5802790;5785643;84;5885;83;69;5870;33;14044
5802791;5785643;84;5903;83;68;6356;32;13585
5802792;5785643;90;6279;87;71;6593;33;13771
5802793;5785643;74;5206;74;74;5206;30;12743
5802794;5785643;71;4993;71;71;4993;30;13028
5802795;5785643;71;4994;71;71;4994;29;13029
5802796;5785643;73;5107;73;73;5107;30;13225
5802797;5785643;78;5469;78;78;5469;32;13543
5802798;5785643;81;5644;81;81;5644;33;13277
5802799;5785643;150;10491;143;123;13200;18;5864
5802800;5785643;149;10411;140;122;13120;18;5737
5802801;5785643;154;10780;146;127;13488;20;5826
5804689;5785643;107;7521;107;107;7521;36;16329
5804690;5785643;97;6808;97;97;6808;37;16321
5804691;5785643;114;8004;114;114;8004;34;15110
5804692;5785643;117;8196;117;117;8196;36;15076
5804693;5785643;108;7533;105;90;8693;34;14090
5804694;5785643;101;7094;99;84;8253;32;13696
5804695;5785643;100;7020;96;83;8180;34;14609
5804696;5785643;92;6410;85;67;6325;31;13236
5804697;5785643;88;6171;79;64;6127;32;13326
5804698;5785643;91;6341;87;72;6655;33;13872
5804699;5785643;71;4985;71;71;4985;29;12459
5804700;5785643;71;4944;71;71;4944;29;12399
5804701;5785643;66;4644;66;66;4644;31;12788
5804702;5785643;67;4707;67;67;4707;30;12607
5804703;5785643;69;4858;69;69;4858;29;12782
5804704;5785643;72;5006;72;72;5006;32;13202
5804705;5785643;146;10247;136;119;12955;18;6038
5804706;5785643;146;10208;136;119;12916;22;6202
5804707;5785643;-1;-1;-1;-1;-1;22;6122
5806593;5785643;108;7529;108;108;7529;37;16844
5806594;5785643;102;7167;102;102;7167;35;16079
5806595;5785643;101;7087;101;101;7087;35;15961
5806596;5785643;111;7770;111;111;7770;37;18633
5806597;5785643;116;8146;116;116;8146;33;14828
5806598;5785643;121;8456;121;121;8456;32;14591
5806599;5785643;99;6931;95;81;8090;31;13447
5806600;5785643;96;6703;93;78;7862;32;13304
5806601;5785643;93;6503;87;69;6476;31;13158
5806602;5785643;93;6490;87;68;6405;31;13355
5806603;5785643;95;6638;88;70;6553;31;12404
5806604;5785643;71;4981;71;71;4981;29;12342
5806605;5785643;67;4668;67;67;4668;30;12204
5806606;5785643;62;4306;62;62;4306;29;12265
5806607;5785643;64;4489;64;64;4489;31;12628
5806608;5785643;69;4810;69;69;4810;32;12973
5806609;5785643;73;5129;73;73;5129;32;13154
5806610;5785643;141;9892;132;114;12600;20;6431
5806611;5785643;144;10051;133;117;12760;22;6364
5806612;5785643;147;10297;136;120;13006;25;7242
5806613;5785643;170;11913;159;143;14622;22;6704
5808496;5785643;112;7875;112;112;7875;38;16901
5808497;5785643;112;7855;112;112;7855;38;16864
5808498;5785643;111;7759;111;111;7759;37;16594
5808499;5785643;105;7371;105;105;7371;34;15537
5808500;5785643;109;7662;109;109;7662;37;18884
5808501;5785643;121;8497;121;121;8497;32;14702
5808502;5785643;122;8509;122;122;8509;34;14577
5808503;5785643;100;7028;97;83;8187;34;13575
5808504;5785643;96;6717;93;78;7876;32;13216
5808505;5785643;91;6337;87;73;7496;31;12874
5808506;5785643;89;6251;86;72;7410;30;12848
5808507;5785643;68;4795;68;68;4795;29;12178
5808508;5785643;66;4610;66;66;4610;28;11879
5808509;5785643;60;4197;60;60;4197;28;11955
5808510;5785643;60;4224;60;60;4224;31;12444
5808511;5785643;68;4759;68;68;4759;34;12845
5808512;5785643;-1;-1;-1;-1;-1;33;13031
5808513;5785643;138;9664;128;111;12373;20;6897
5808514;5785643;137;9579;128;110;12288;19;6518
5808515;5785643;141;9870;132;114;12578;19;6701
5808516;5785643;144;10107;133;117;12816;23;7160
5808517;5785643;150;10518;143;123;13227;26;7346
5808518;5785643;156;10903;147;129;13612;24;6984
5810399;5785643;118;8226;118;118;8226;-1;-1
5810400;5785643;116;8150;116;116;8150;40;17042
5810401;5785643;115;8044;115;115;8044;39;17000
5810402;5785643;107;7514;107;107;7514;35;16047
5810403;5785643;108;7528;108;108;7528;34;15507
5810404;5785643;111;7768;111;111;7768;40;18891
5810405;5785643;-1;-1;-1;-1;-1;34;14745
5810406;5785643;124;8658;124;124;8658;33;14314
5810407;5785643;-1;-1;-1;-1;-1;32;13324
5810408;5785643;-1;-1;-1;-1;-1;30;12989
5810409;5785643;86;6040;85;69;7199;30;12614
5810410;5785643;84;5851;81;66;7032;30;12436
5810411;5785643;70;4867;70;70;4867;29;12126
5810412;5785643;67;4713;67;67;4713;28;11822
5810413;5785643;67;4666;67;67;4666;28;11609
5810414;5785643;62;4357;62;62;4357;30;11872
5810415;5785643;68;4763;68;68;4763;33;12188
5810416;5785643;133;9309;122;106;12017;22;7321
5810417;5785643;133;9277;122;105;11986;20;6996
5810418;5785643;136;9535;127;109;12244;21;6914
5810419;5785643;144;10069;133;117;12778;23;7597
5810420;5785643;147;10290;136;120;12999;24;7228
5810421;5785643;150;10506;143;123;13215;26;7335
5810422;5785643;154;10748;146;126;13456;22;6818
5810423;5785643;208;14537;176;152;17268;34;14654
5810457;5785643;260;18185;191;171;41897;33;14871
5810458;5785643;258;18049;186;168;41642;33;13548
5810462;5785643;279;19537;179;154;31858;35;14974
5810463;5785643;279;19521;173;152;31355;35;15046
5810464;5785643;282;19750;177;156;41365;36;15303
5812300;5785643;124;8679;124;120;34717;-1;-1
5812301;5785643;122;8515;122;123;34948;-1;-1
5812302;5785643;122;8550;122;122;8550;43;17262
5812303;5785643;-1;-1;-1;-1;-1;39;17065
5812304;5785643;112;7840;112;112;7840;34;15817
5812305;5785643;113;7896;113;113;7896;36;17751
5812306;5785643;-1;-1;-1;-1;-1;35;14795
5812307;5785643;-1;-1;-1;-1;-1;33;14483
5812308;5785643;155;10863;132;116;10947;32;13917
5812309;5785643;155;10875;132;117;10959;31;13257
5812310;5785643;-1;-1;-1;-1;-1;31;13064
5812311;5785643;86;5986;84;68;7187;30;12617
5812312;5785643;81;5687;79;67;7107;29;12366
5812313;5785643;79;5516;78;70;7831;29;12076
5812314;5785643;71;4968;71;71;4968;28;11619
5812315;5785643;68;4777;68;68;4777;27;11316
5812316;5785643;72;5069;72;72;5069;30;11686
5812317;5785643;76;5315;76;76;5315;32;12094
5812318;5785643;131;9172;120;104;11881;20;7210
5812319;5785643;129;9025;115;102;11734;22;7247
5812320;5785643;141;9869;132;114;12577;20;6978
5812321;5785643;141;9890;132;114;12599;23;7453
5812322;5785643;154;10775;139;118;13625;26;7337
5812323;5785643;153;10711;142;122;13883;37;13243
5812324;5785643;155;10825;147;128;13534;37;14843
5812325;5785643;207;14498;176;151;17230;34;14661
5812353;5785643;233;16312;208;173;33555;31;13394
5812354;5785643;236;16518;208;176;33761;31;13613
5812355;5785643;244;17069;204;179;43138;30;13754
5812356;5785643;242;16951;204;177;42997;32;14173
5812358;5785643;273;19122;201;177;44797;36;14852
5812359;5785643;270;18920;192;173;41986;33;14881
5812360;5785643;265;18585;186;168;41650;33;13954
5812361;5785643;264;18447;180;163;41342;33;13926
5812362;5785643;265;18557;180;164;41695;37;14531
5812363;5785643;270;18928;180;163;41583;34;14461
5812364;5785643;273;19127;174;152;31740;35;14703
5812365;5785643;278;19443;176;152;31734;36;15141
5812366;5785643;286;20010;177;158;41461;38;15561
5814173;5785643;286;20022;207;177;40537;71;35338
5814174;5785643;296;20700;219;187;41216;72;35319
5814175;5785643;297;20792;219;188;41308;71;34856
5814176;5785643;254;17769;236;218;43377;73;34955
5814201;5785643;126;8843;126;117;34531;-1;-1
5814202;5785643;127;8884;127;121;34780;41;17667
5814203;5785643;-1;-1;-1;-1;-1;39;17190
5814204;5785643;-1;-1;-1;-1;-1;36;15850
5814205;5785643;116;8100;116;116;8100;34;15484
5814206;5785643;116;8138;116;116;8138;37;17604
5814207;5785643;133;9331;128;113;9333;32;14428
5814208;5785643;136;9494;128;116;9496;32;14374
5814209;5785643;153;10715;129;114;10799;31;13744
5814210;5785643;152;10652;129;113;10735;33;13737
5814211;5785643;-1;-1;-1;-1;-1;33;13306
5814212;5785643;-1;-1;-1;-1;-1;31;12778
5814213;5785643;82;5722;81;72;7460;32;12698
5814214;5785643;77;5370;76;68;7685;28;11947
5814215;5785643;74;5167;74;74;5167;30;11512
5814216;5785643;73;5088;73;73;5088;28;11190
5814217;5785643;75;5251;75;75;5251;31;11145
5814218;5785643;-1;-1;-1;-1;-1;31;11781
5814219;5785643;128;8968;114;101;11677;20;7296
5814220;5785643;125;8784;114;98;11493;23;7558
5814221;5785643;145;10135;135;118;12843;23;7328
5814222;5785643;145;10154;135;118;12862;25;7586
5814223;5785643;153;10744;137;115;13407;36;13164
5814224;5785643;153;10698;137;115;13361;37;13252
5814225;5785643;-1;-1;-1;-1;-1;37;14890
5814226;5785643;204;14258;170;148;16990;35;14715
5814227;5785643;199;13944;168;143;16676;34;14872
5814253;5785643;235;16475;204;176;41972;35;13442
5814254;5785643;257;18012;184;159;40669;35;13656
5814255;5785643;257;17958;184;158;40615;34;13831
5814256;5785643;246;17230;206;181;43299;33;14234
5814257;5785643;253;17677;209;187;43723;32;14717
5814258;5785643;248;17378;208;188;34621;33;14558
5814259;5785643;251;17599;208;186;43646;36;14828
5814260;5785643;270;18897;192;172;41963;37;15377
5814261;5785643;266;18641;186;169;41707;34;14148
5814262;5785643;268;18739;180;164;32956;33;14022
5814263;5785643;268;18791;180;163;32844;34;14281
5814264;5785643;274;19150;180;164;41689;34;14338
5814265;5785643;273;19089;173;152;32085;34;14575
5814266;5785643;281;19671;180;155;43202;36;15040
5814267;5785643;295;20631;180;155;41847;39;16468
5814268;5785643;295;20634;173;150;32186;38;16333
5816065;5785643;293;20500;213;184;40992;73;37282
5816068;5785643;283;19792;207;173;40241;68;36368
5816069;5785643;286;20044;207;176;40493;67;36566
5816070;5785643;271;18999;195;162;39471;69;36714
5816071;5785643;271;18994;195;163;39526;69;36557
5816072;5785643;273;19087;195;164;39619;68;35095
5816073;5785643;258;18057;207;168;39911;69;34959
5816074;5785643;253;17698;213;182;40883;68;34628
5816075;5785643;255;17831;236;218;43439;69;34478
5816099;5785643;140;9816;139;127;35208;36;17566
5816100;5785643;132;9233;131;119;34647;36;17497
5816101;5785643;137;9624;135;125;35038;39;17525
5816102;5785643;-1;-1;-1;-1;-1;37;17035
5816103;5785643;-1;-1;-1;-1;-1;34;15759
5816104;5785643;120;8369;118;108;8959;34;15508
5816105;5785643;128;8968;125;108;8970;36;17353
5816106;5785643;131;9171;128;111;9173;32;14396
5816107;5785643;136;9514;127;116;9516;31;14050
5816108;5785643;151;10572;129;112;10656;31;14158
5816109;5785643;148;10347;127;109;10430;32;13463
5816110;5785643;147;10305;128;108;10388;32;13177
5816111;5785643;-1;-1;-1;-1;-1;33;13131
5816112;5785643;-1;-1;-1;-1;-1;33;12884
5816113;5785643;80;5612;80;71;8153;30;12008
5816114;5785643;79;5515;77;67;7867;27;11091
5816115;5785643;79;5532;78;68;8175;26;10817
5816116;5785643;78;5456;78;70;8271;29;11044
5816117;5785643;81;5702;81;73;8517;29;11034
5816118;5785643;123;8577;111;95;11286;21;7825
5816119;5785643;123;8603;111;96;11312;24;7739
5816120;5785643;157;10984;139;119;13648;27;7582
5816121;5785643;155;10850;137;117;13513;24;7487
5816122;5785643;149;10450;133;111;13113;32;12873
5816123;5785643;149;10435;133;111;13099;35;13106
5816124;5785643;150;10507;135;112;13171;36;13195
5816125;5785643;-1;-1;-1;-1;-1;38;14971
5816126;5785643;202;14164;168;146;16896;37;15062
5816127;5785643;196;13729;162;140;16461;36;14875
5816152;5785643;241;16865;186;163;40929;36;15306
5816153;5785643;256;17914;183;157;40571;37;16107
5816154;5785643;253;17698;183;154;40355;39;18297
5816155;5785643;254;17779;183;155;40436;39;18394
5816156;5785643;252;17656;209;187;43702;33;14768
5816157;5785643;251;17579;208;186;43626;35;14729
5816158;5785643;297;20759;180;164;40583;37;15408
5816159;5785643;296;20720;180;163;40544;37;15358
5816160;5785643;273;19105;180;163;40544;35;14605
5816161;5785643;271;18986;186;168;40888;37;15518
5816162;5785643;286;20025;174;151;40029;36;15522
5816163;5785643;277;19375;173;150;40369;37;15147
5816164;5785643;276;19319;168;149;40351;35;14809
5816165;5785643;279;19541;173;151;33046;36;15104
5816166;5785643;284;19878;174;152;42660;36;15422
5816167;5785643;290;20319;173;150;32202;40;16203
5817963;5785643;297;20820;219;188;41312;69;37072
5817964;5785643;294;20553;213;184;41046;70;37014
5817965;5785643;291;20389;213;182;40882;68;36565
5817966;5785643;288;20127;207;178;40620;67;36289
5817967;5785643;277;19416;207;167;39865;67;36237
5817968;5785643;273;19087;195;163;39536;67;36554
5817969;5785643;269;18811;183;157;39260;68;36444
5817970;5785643;268;18741;183;157;39273;68;36676
5817971;5785643;260;18226;195;163;39541;68;35144
5817972;5785643;255;17882;201;167;39841;67;34814
5817973;5785643;251;17543;213;180;40728;66;34462
5817974;5785643;249;17404;207;178;40589;66;34254
5817975;5785643;242;16920;211;180;40728;67;33928
5817976;5785643;240;16782;211;185;41114;66;33614
5817977;5785643;232;16266;214;189;41369;68;33722
5817997;5785643;141;9872;140;128;35263;42;17432
5817998;5785643;142;9928;141;129;35320;38;17702
5817999;5785643;135;9478;132;120;34715;36;17356
5818000;5785643;137;9571;133;121;34809;36;17085
5818001;5785643;144;10098;134;120;33739;38;17074
5818002;5785643;128;8969;125;108;8962;35;15786
5818003;5785643;125;8742;123;105;8734;33;15106
5818004;5785643;124;8708;122;104;8710;38;17709
5818005;5785643;128;8927;125;107;8929;32;14311
5818006;5785643;140;9826;130;117;10986;30;13875
5818007;5785643;142;9948;127;113;10689;31;13636
5818008;5785643;146;10213;127;107;10296;30;13194
5818009;5785643;142;9943;124;103;10026;30;12932
5818010;5785643;140;9771;120;101;9854;30;12896
5818011;5785643;138;9680;120;100;9764;30;12684
5818012;5785643;138;9667;117;99;9751;30;12676
5818013;5785643;87;6119;86;78;8850;28;11093
5818014;5785643;84;5865;83;74;8596;26;10660
5818015;5785643;81;5658;80;71;8389;29;10702
5818016;5785643;83;5791;82;74;8585;23;8009
5818017;5785643;118;8275;110;91;10984;22;7960
5818018;5785643;118;8250;110;91;10959;24;8403
5818019;5785643;156;10953;139;118;13617;28;8638
5818020;5785643;154;10770;137;116;13434;32;12348
5818021;5785643;150;10503;135;112;13166;31;12758
5818022;5785643;145;10167;126;107;12830;34;12822
5818023;5785643;148;10363;130;110;13026;30;12545
5818024;5785643;151;10595;136;113;13258;39;15098
5818025;5785643;160;11195;134;116;13924;35;13615
5818026;5785643;159;11099;134;115;13828;35;13606
5818027;5785643;198;13868;168;142;16600;36;13715
5818052;5785643;245;17173;183;152;40225;34;15923
5818053;5785643;248;17376;177;150;40033;37;18138
5818054;5785643;251;17591;183;153;40248;40;18341
5818055;5785643;256;17905;209;190;43951;34;14965
5818056;5785643;256;17920;211;191;43967;36;15116
5818057;5785643;295;20627;180;162;40451;37;15385
5818058;5785643;292;20418;180;165;34011;36;15228
5818059;5785643;276;19337;180;164;33985;34;14802
5818060;5785643;292;20450;180;165;34043;37;15524
5818061;5785643;282;19749;168;147;39752;36;15386
5818062;5785643;280;19575;174;151;40000;35;15154
5818063;5785643;281;19692;180;155;43215;38;15352
5818064;5785643;283;19825;174;151;42581;35;15127
5818065;5785643;284;19865;173;149;42202;36;15413
5818066;5785643;290;20279;177;153;42465;39;15862
5818067;5785643;294;20550;177;157;42736;41;16184
5818068;5785643;296;20716;177;154;39065;42;16569
5818069;5785643;299;20946;177;158;39295;44;16939
5818070;5785643;-1;-1;-1;-1;-1;44;17676
5818071;5785643;317;22212;189;170;42437;43;17562
5818072;5785643;336;23555;198;160;43094;40;19197
5819860;5785643;298;20872;219;189;41365;68;37111
5819861;5785643;289;20246;213;180;40744;67;36767
5819862;5785643;286;20019;207;177;40517;68;36555
5819863;5785643;282;19718;207;172;40216;66;36183
5819864;5785643;278;19492;207;169;39990;66;35991
5819865;5785643;272;19025;195;162;39474;66;35847
5819866;5785643;270;18869;189;158;39318;67;36511
5819867;5785643;266;18627;183;157;39250;67;36377
5819868;5785643;273;19109;195;161;39100;69;35291
5819869;5785643;255;17885;207;174;40319;67;34764
5819870;5785643;250;17521;207;173;40230;67;34487
5819871;5785643;248;17357;207;176;40472;68;34329
5819872;5785643;248;17329;207;179;40694;66;33814
5819873;5785643;240;16791;211;185;41111;65;33531
5819874;5785643;237;16602;214;188;41297;66;33344
5819875;5785643;230;16122;221;201;42214;67;33196
5819876;5785643;224;15674;216;202;42284;69;33406
5819893;5785643;146;10228;146;133;35619;43;17471
5819894;5785643;-1;-1;-1;-1;-1;40;17291
5819895;5785643;154;10789;141;127;34211;37;17119
5819896;5785643;151;10575;136;124;33997;37;17213
5819897;5785643;148;10369;135;121;33791;36;16916
5819898;5785643;142;9953;134;118;33595;36;16925
5819899;5785643;143;10020;132;116;33468;37;16783
5819900;5785643;127;8865;124;106;8858;33;15139
5819901;5785643;126;8828;124;106;8830;38;17512
5819902;5785643;-1;-1;-1;-1;-1;32;14339
5819903;5785643;149;10424;132;117;11005;31;14028
5819904;5785643;145;10178;127;114;10759;33;13864
5819905;5785643;147;10321;131;116;10901;30;13122
5819906;5785643;142;9973;124;104;10056;31;13122
5819907;5785643;137;9588;117;98;9672;29;12593
5819908;5785643;135;9415;117;96;9499;30;12548
5819909;5785643;136;9487;117;97;9571;29;12594
5819910;5785643;87;6106;86;78;8837;28;11083
5819911;5785643;85;5963;85;76;8694;26;10667
5819912;5785643;84;5872;83;70;8869;28;10427
5819913;5785643;88;6181;86;73;9046;27;10080
5819914;5785643;118;8258;110;91;10966;22;8621
5819915;5785643;113;7924;107;86;10633;24;8371
5819916;5785643;116;8110;108;89;10818;26;8505
5819917;5785643;142;9934;122;104;12598;31;12024
5819918;5785643;140;9809;118;102;12472;31;12319
5819919;5785643;143;10030;122;105;12693;34;12807
5819920;5785643;149;10423;133;111;13087;36;12656
5819921;5785643;-1;-1;-1;-1;-1;33;12882
5819922;5785643;157;11013;134;113;13742;33;13456
5819923;5785643;155;10824;133;111;13553;33;13372
5819924;5785643;155;10881;133;111;13610;35;13532
5819949;5785643;247;17317;183;163;40951;34;15891
5819950;5785643;249;17430;177;151;40087;37;18033
5819951;5785643;252;17620;177;150;39851;38;18048
5819952;5785643;257;17982;182;153;39750;40;17936
5819953;5785643;266;18645;180;159;40167;36;15141
5819954;5785643;269;18829;180;164;35847;42;18523
5819955;5785643;274;19173;180;164;34435;35;15087
5819956;5785643;287;20064;180;160;33656;36;15148
5819957;5785643;286;20001;180;165;40723;36;15457
5819958;5785643;284;19882;168;148;39472;37;15580
5819959;5785643;286;20044;180;163;33326;39;16874
5819960;5785643;287;20091;177;159;38302;39;16509
5819961;5785643;293;20521;177;156;33168;38;16131
5819962;5785643;289;20217;173;152;32864;38;15933
5819963;5785643;293;20501;170;149;38535;40;16248
5819964;5785643;294;20587;165;147;38585;40;16275
5819965;5785643;298;20866;170;150;38761;42;16632
5819966;5785643;302;21142;176;154;39037;45;16953
5819967;5785643;314;21965;174;155;40220;44;18192
5819968;5785643;-1;-1;-1;-1;-1;42;18273
5819969;5785643;327;22901;182;161;41165;41;19612
5821755;5785643;360;25211;268;194;42428;70;37625
5821756;5785643;298;20848;219;189;41346;68;37498
5821757;5785643;292;20465;213;183;40963;68;36945
5821758;5785643;294;20609;213;185;41107;71;36784
5821759;5785643;282;19769;207;173;40267;69;36313
5821760;5785643;278;19465;207;169;39963;67;35948
5821761;5785643;275;19268;195;165;39717;66;35624
5821762;5785643;271;19000;195;162;39498;68;36566
5821763;5785643;270;18883;183;153;38651;67;35515
5821764;5785643;275;19274;189;158;38994;69;35888
5821765;5785643;258;18042;207;176;40476;68;34931
5821766;5785643;254;17791;207;177;40500;66;34535
5821767;5785643;255;17873;207;178;40581;69;34985
5821768;5785643;260;18195;213;182;40904;71;35366
5821769;5785643;240;16819;214;191;41514;68;33733
5821770;5785643;242;16939;214;193;41633;65;33240
5821771;5785643;242;16945;209;193;41640;65;32995
5821772;5785643;246;17199;218;196;41894;66;32899
5821773;5785643;222;15570;216;198;35146;65;32594
5821788;5785643;-1;-1;-1;-1;-1;38;17475
5821789;5785643;-1;-1;-1;-1;-1;42;17294
5821790;5785643;171;11991;150;144;35413;38;17144
5821791;5785643;169;11826;147;135;25862;39;17180
5821792;5785643;153;10713;139;126;34136;37;17241
5821793;5785643;147;10310;135;120;33732;35;16787
5821794;5785643;141;9859;131;113;33282;35;16509
5821795;5785643;138;9644;130;111;9649;36;16635
5821796;5785643;133;9300;126;106;9305;34;15648
5821797;5785643;138;9637;131;111;9641;38;17249
5821798;5785643;140;9789;132;113;9794;38;16784
5821799;5785643;152;10647;136;120;11227;31;14041
5821800;5785643;150;10478;132;118;11058;33;14223
5821801;5785643;-1;-1;-1;-1;-1;33;13366
5821802;5785643;-1;-1;-1;-1;-1;34;13314
5821803;5785643;138;9652;117;99;9736;30;12620
5821804;5785643;130;9117;109;91;9201;30;12151
5821805;5785643;103;7230;101;86;9947;28;11034
5821806;5785643;101;7090;99;84;9806;28;10956
5821807;5785643;91;6382;87;74;9099;25;10215
5821808;5785643;87;6087;85;69;8804;26;10147
5821809;5785643;91;6380;87;73;9096;24;9234
5821810;5785643;110;7711;103;83;10420;23;8644
5821811;5785643;112;7846;103;85;10554;24;8738
5821812;5785643;115;8079;108;88;10788;31;11647
5821813;5785643;135;9473;113;97;12137;29;11921
5821814;5785643;136;9541;113;98;12204;32;12313
5821815;5785643;135;9452;113;97;12115;33;11935
5821816;5785643;135;9468;113;97;12131;34;12547
5821817;5785643;-1;-1;-1;-1;-1;33;12866
5821818;5785643;158;11042;134;114;13771;32;12957
5821819;5785643;150;10510;124;105;13275;32;13027
5821820;5785643;155;10876;133;111;13605;33;13386
5821821;5785643;158;11083;136;114;13814;33;13461
5821846;5785643;252;17651;182;155;39939;36;17953
5821847;5785643;253;17733;171;149;39481;36;17665
5821848;5785643;258;18067;176;150;39589;37;17661
