from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5785643;54;3764;54;54;3764;34;15274
5785641;5785643;57;3970;57;57;3970;34;15591
5785642;5785643;58;4087;58;58;4087;36;15775
5785643;5785643;0;0;0;0;0;0;0
5787544;5785643;47;3274;47;47;3274;41;15991
5787545;5785643;48;3343;48;48;3343;41;15982
5787546;5785643;-1;-1;-1;-1;-1;34;14801
5787547;5785643;64;4469;64;64;4469;33;15193
5787548;5785643;60;4195;60;60;4195;31;15314
5787549;5785643;64;4488;64;64;4488;33;15557
5787550;5785643;149;10445;149;149;10445;12;811
5789447;5785643;56;3945;56;56;3945;37;15600
5789448;5785643;60;4224;60;60;4224;36;15333
5789449;5785643;-1;-1;-1;-1;-1;36;15576
5789450;5785643;-1;-1;-1;-1;-1;40;15894
5789451;5785643;-1;-1;-1;-1;-1;35;14809
5789452;5785643;72;5040;72;72;5040;33;14701
5789453;5785643;67;4674;67;67;4674;31;14878
5789454;5785643;64;4477;64;64;4477;32;15141
5789455;5785643;73;5108;73;73;5108;33;15362
5789456;5785643;147;10285;147;147;10285;10;721
5791353;5785643;64;4491;64;64;4491;36;15890
5791354;5785643;61;4259;61;61;4259;35;15587
5791355;5785643;61;4288;61;61;4288;34;15147
5791356;5785643;66;4636;66;66;4636;36;15300
5791357;5785643;-1;-1;-1;-1;-1;40;15886
5791358;5785643;-1;-1;-1;-1;-1;33;14195
5791359;5785643;72;5022;72;72;5022;31;14518
5791360;5785643;69;4830;69;69;4830;33;14886
5791361;5785643;70;4907;70;70;4907;34;15241
5791362;5785643;75;5218;75;75;5218;36;15549
5791363;5785643;147;10280;147;147;10280;13;1046
5793258;5785643;70;4876;70;70;4876;37;16236
5793259;5785643;65;4577;65;65;4577;38;16100
5793260;5785643;66;4610;66;66;4610;37;15513
5793261;5785643;65;4571;65;65;4571;34;15023
5793262;5785643;67;4677;67;67;4677;36;15122
5793263;5785643;-1;-1;-1;-1;-1;39;15027
5793264;5785643;-1;-1;-1;-1;-1;33;14139
5793265;5785643;74;5195;74;74;5195;32;14472
5793266;5785643;75;5254;75;75;5254;34;14669
5793267;5785643;-1;-1;-1;-1;-1;38;15464
5793268;5785643;-1;-1;-1;-1;-1;38;15690
5793269;5785643;-1;-1;-1;-1;-1;35;14502
5793270;5785643;159;11160;159;159;11160;17;3753
5795164;5785643;71;4952;71;71;4952;38;16384
5795165;5785643;72;5033;72;72;5033;36;15051
5795166;5785643;-1;-1;-1;-1;-1;36;14900
5795167;5785643;71;4970;71;71;4970;34;14521
5795168;5785643;70;4868;70;70;4868;35;14609
5795169;5785643;81;5702;81;70;5703;37;14831
5795170;5785643;81;5699;81;81;5699;31;13878
5795171;5785643;77;5394;77;77;5394;32;14179
