from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;6016699;633;44305;182;115;44146;206;187;57015;261;230;58652;83;52030;72;52008;48
5785641;6016699;613;42909;189;120;43129;218;190;57221;261;198;58857;85;52241;74;52219;48
5785642;6016699;614;42988;189;120;43129;221;192;57339;261;200;58975;85;51642;74;49844;48
5785643;6016699;618;43281;198;125;45189;230;196;57632;261;204;59268;85;54199;74;52400;48
5787544;6016699;626;43815;179;113;43607;206;180;56526;241;184;56526;82;51604;71;51582;47
5787545;6016699;627;43884;179;113;43607;206;181;56595;241;185;56595;82;51891;71;51868;47
5787546;6016699;630;44110;179;113;43607;206;184;56821;261;227;58457;85;50669;73;48870;48
5787547;6016699;611;42795;189;120;43129;224;197;57720;257;205;59356;85;51060;73;49261;48
5787548;6016699;608;42569;189;120;43129;221;193;57447;253;201;59084;85;51181;73;49382;48
5787549;6016699;610;42703;189;120;43129;224;198;57740;253;206;59376;85;51424;74;49626;48
5787550;6016699;647;45286;198;125;45189;227;180;68104;261;218;63116;85;53998;74;52199;48
5789447;6016699;593;41541;170;108;41508;170;153;55395;182;145;53759;78;49415;67;49392;44
5789448;6016699;597;41821;170;108;41511;170;153;55416;182;145;53779;78;49779;68;49757;44
5789449;6016699;602;42169;172;109;42201;170;154;55476;182;146;53840;79;50205;68;50183;45
5789450;6016699;629;44052;172;109;42201;206;184;56762;261;227;58398;79;50524;68;50502;45
5789451;6016699;630;44090;179;113;43607;206;184;56800;261;227;58437;82;51851;71;51829;47
5789452;6016699;603;42231;179;113;43607;221;192;54314;243;200;55950;84;50568;73;48769;47
5789453;6016699;604;42267;189;120;43129;221;192;54350;243;200;55987;85;50745;73;48946;48
5789454;6016699;605;42354;189;120;43129;221;197;57729;246;205;59366;84;51009;73;49210;47
5789455;6016699;608;42530;198;125;45222;224;196;54614;253;204;56250;85;51229;74;49431;48
5789456;6016699;645;45125;198;125;45222;217;178;67943;261;216;62955;91;53908;80;52109;54
5791353;6016699;601;42087;168;107;41070;173;158;55755;192;150;54119;77;49005;67;48983;44
5791354;6016699;598;41855;171;108;41840;170;154;55523;192;146;53887;79;49596;68;49574;45
5791355;6016699;598;41884;171;108;41753;164;150;55184;182;142;53548;78;49777;68;49754;44
