from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;6016697;633;44323;185;117;44545;206;187;57033;261;230;58670;84;52312;73;52290;48
5785641;6016697;613;42927;192;121;43527;218;190;57239;261;198;58876;86;52523;74;52500;48
5785642;6016697;614;43006;192;121;43527;221;192;57357;261;200;58993;86;51924;74;50125;48
5785643;6016697;619;43299;201;127;45587;230;196;57650;261;204;59286;86;54481;75;52682;49
5787544;6016697;626;43834;182;115;44006;206;180;56544;241;184;56544;83;51886;72;51864;48
5787545;6016697;627;43903;182;115;44006;206;181;56613;241;185;56613;83;52172;72;52150;48
5787546;6016697;630;44128;182;115;44006;206;185;56839;261;228;58475;85;50950;74;49152;48
5787547;6016697;612;42813;192;121;43527;224;197;57738;257;205;59374;85;51341;74;49543;48
5787548;6016697;608;42587;192;121;43527;221;194;57466;253;202;59102;86;51463;74;49664;48
5787549;6016697;610;42721;192;121;43527;224;198;57758;253;206;59394;86;51706;75;49907;49
5787550;6016697;647;45304;201;127;45587;227;180;68122;261;218;63134;86;54280;75;52481;49
5789447;6016697;594;41559;172;109;41907;170;153;55413;182;145;53777;79;49696;68;49674;45
5789448;6016697;598;41839;172;109;41910;170;153;55434;182;145;53797;79;50061;68;50039;45
5789449;6016697;603;42188;174;110;42600;170;154;55494;182;146;53858;80;50487;69;50465;45
5789450;6016697;630;44070;174;110;42600;206;184;56780;261;227;58416;80;50806;69;50783;45
5789451;6016697;630;44108;182;115;44006;206;184;56818;261;227;58455;83;52133;72;52111;48
5789452;6016697;604;42249;182;115;44006;221;192;54332;244;200;55969;85;50850;74;49051;48
5789453;6016697;604;42285;192;121;43527;221;192;54369;244;200;56005;85;51026;74;49228;48
5789454;6016697;605;42372;192;121;43527;221;198;57747;246;206;59384;85;51290;74;49492;48
5789455;6016697;608;42548;201;127;45620;224;196;54632;253;204;56268;86;51511;75;49712;49
5789456;6016697;645;45143;201;127;45620;217;178;67962;261;216;62973;92;54190;81;52391;54
5791353;6016697;601;42105;171;108;41468;173;158;55773;192;150;54137;78;49287;68;49264;44
5791354;6016697;598;41873;173;110;42239;170;155;55541;192;147;53905;80;49878;69;49856;45
5791355;6016697;599;41902;173;110;42152;164;150;55202;182;142;53566;79;50058;69;50036;45
5791356;6016697;600;41999;175;111;42534;170;155;55550;192;147;53914;80;50684;69;50661;46
5791357;6016697;601;42087;174;110;42600;173;158;55618;192;150;53982;80;50798;69;50775;45
5791358;6016697;602;42138;174;110;42600;218;190;54221;240;198;55857;80;50344;69;48545;45
5791359;6016697;599;41940;174;110;42600;206;187;54023;237;211;59694;85;50667;74;48869;48
5791360;6016697;600;41994;192;121;43527;212;188;54078;237;196;55714;85;51035;74;49237;48
5791361;6016697;605;42348;201;127;45620;221;193;54431;244;201;56067;85;51390;74;49591;48
5791362;6016697;609;42659;201;127;45620;224;198;54742;253;206;56378;86;51698;74;49899;49
5791363;6016697;645;45138;201;127;45620;217;178;67956;261;216;62968;92;54085;81;52287;54
5793258;6016697;607;42491;175;110;42713;182;164;56159;202;156;54523;80;50551;70;50529;46
