from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;6016691;-1;-1;185;117;45102;-1;-1;-1;-1;-1;-1;86;53275;75;53253;50
5785641;6016691;-1;-1;192;121;44085;-1;-1;-1;-1;-1;-1;88;53486;76;53464;50
5785642;6016691;-1;-1;192;121;44085;-1;-1;-1;-1;-1;-1;88;52887;76;51089;50
5785643;6016691;-1;-1;201;127;46145;-1;-1;-1;-1;-1;-1;88;55444;77;53645;50
5787544;6016691;-1;-1;182;115;44563;-1;-1;-1;-1;-1;-1;85;52849;74;52827;49
5787545;6016691;-1;-1;182;115;44563;-1;-1;-1;-1;-1;-1;85;53136;74;53113;49
5787546;6016691;-1;-1;182;115;44563;-1;-1;-1;-1;-1;-1;88;51913;76;50115;50
5787547;6016691;-1;-1;192;121;44085;-1;-1;-1;-1;-1;-1;88;52305;76;50506;50
5787548;6016691;-1;-1;192;121;44085;-1;-1;-1;-1;-1;-1;88;52426;76;50627;50
5787549;6016691;-1;-1;192;121;44085;-1;-1;-1;-1;-1;-1;88;52669;77;50870;50
5787550;6016691;-1;-1;201;127;46145;-1;-1;-1;-1;-1;-1;88;55243;77;53444;50
5789447;6016691;-1;-1;172;109;42464;-1;-1;-1;-1;-1;-1;81;50659;70;50637;46
5789448;6016691;-1;-1;172;109;42467;-1;-1;-1;-1;-1;-1;81;51024;70;51002;46
5789449;6016691;-1;-1;175;110;43157;-1;-1;-1;-1;-1;-1;82;51450;71;51428;47
5789450;6016691;-1;-1;175;110;43157;-1;-1;-1;-1;-1;-1;82;51769;71;51746;47
5789451;6016691;-1;-1;182;115;44563;-1;-1;-1;-1;-1;-1;85;53096;74;53074;49
5789452;6016691;-1;-1;182;115;44563;-1;-1;-1;-1;-1;-1;87;51813;76;50014;49
5789453;6016691;-1;-1;192;121;44085;-1;-1;-1;-1;-1;-1;88;51990;76;50191;50
5789454;6016691;-1;-1;192;121;44085;-1;-1;-1;-1;-1;-1;87;52253;76;50455;50
5789455;6016691;-1;-1;201;127;46178;-1;-1;-1;-1;-1;-1;88;52474;77;50676;50
5789456;6016691;-1;-1;201;127;46178;-1;-1;-1;-1;-1;-1;94;55153;83;53354;56
5791353;6016691;-1;-1;171;108;42026;-1;-1;-1;-1;-1;-1;80;50250;70;50228;46
5791354;6016691;-1;-1;174;110;42796;-1;-1;-1;-1;-1;-1;82;50841;71;50819;47
5791355;6016691;-1;-1;173;110;42709;-1;-1;-1;-1;-1;-1;82;51022;71;50999;47
5791356;6016691;-1;-1;175;111;43091;-1;-1;-1;-1;-1;-1;82;51647;71;51624;47
5791357;6016691;-1;-1;175;110;43157;-1;-1;-1;-1;-1;-1;82;51761;71;51738;47
5791358;6016691;-1;-1;175;110;43157;-1;-1;-1;-1;-1;-1;82;51307;71;49508;47
5791359;6016691;-1;-1;175;110;43157;-1;-1;-1;-1;-1;-1;87;51630;76;49832;49
5791360;6016691;-1;-1;192;121;44085;-1;-1;-1;-1;-1;-1;87;51998;76;50200;49
5791361;6016691;-1;-1;201;127;46178;-1;-1;-1;-1;-1;-1;87;52353;76;50554;49
5791362;6016691;-1;-1;201;127;46178;-1;-1;-1;-1;-1;-1;88;52661;76;50862;50
5791363;6016691;-1;-1;201;127;46178;-1;-1;-1;-1;-1;-1;94;55049;83;53250;56
5793258;6016691;-1;-1;175;110;43271;-1;-1;-1;-1;-1;-1;83;51514;72;51492;47
5793259;6016691;-1;-1;174;110;43214;-1;-1;-1;-1;-1;-1;82;51354;71;51332;47
5793260;6016691;-1;-1;173;110;42801;-1;-1;-1;-1;-1;-1;82;51318;71;51296;47
5793261;6016691;-1;-1;174;110;42878;-1;-1;-1;-1;-1;-1;82;51099;71;51077;47
5793262;6016691;-1;-1;174;110;42920;-1;-1;-1;-1;-1;-1;82;51524;71;51501;47
5793263;6016691;-1;-1;174;110;42920;-1;-1;-1;-1;-1;-1;82;52630;72;52607;47
5793264;6016691;-1;-1;178;112;42632;-1;-1;-1;-1;-1;-1;87;51251;75;49453;49
5793265;6016691;-1;-1;177;112;42570;-1;-1;-1;-1;-1;-1;87;51584;75;49785;49
5793266;6016691;-1;-1;183;116;42615;-1;-1;-1;-1;-1;-1;87;51781;76;49982;49
5793267;6016691;-1;-1;183;116;42615;-1;-1;-1;-1;-1;-1;87;52576;76;50777;49
5793268;6016691;-1;-1;201;127;46178;-1;-1;-1;-1;-1;-1;88;52802;76;51003;50
5793269;6016691;-1;-1;198;125;45697;-1;-1;-1;-1;-1;-1;93;51614;82;49816;55
5793270;6016691;-1;-1;198;125;45697;-1;-1;-1;-1;-1;-1;93;54503;82;52705;55
5795164;6016691;-1;-1;174;110;43214;-1;-1;-1;-1;-1;-1;82;51638;71;51616;47
5795165;6016691;-1;-1;174;110;43214;-1;-1;-1;-1;-1;-1;82;53414;71;53392;47
5795166;6016691;-1;-1;178;113;42607;-1;-1;-1;-1;-1;-1;86;53264;74;53241;49
5795167;6016691;-1;-1;174;110;42844;-1;-1;-1;-1;-1;-1;83;51649;72;51627;47
5795168;6016691;-1;-1;178;112;42632;-1;-1;-1;-1;-1;-1;84;52211;73;52189;48
