from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;6016696;635;44421;185;117;44686;208;189;57131;263;232;58767;84;-1;73;-1;49
5785641;6016696;615;43025;192;122;43668;220;192;57337;263;200;58973;86;-1;75;-1;48
5785642;6016696;616;43104;192;122;43668;223;193;57454;263;201;59091;86;-1;75;-1;48
5785643;6016696;620;43397;201;127;45728;232;198;57747;263;206;59384;86;-1;75;-1;49
5787544;6016696;628;43931;183;115;44147;208;182;56641;243;186;56641;83;-1;72;-1;48
5787545;6016696;629;44000;183;115;44147;208;183;56710;243;187;56710;83;-1;72;-1;48
5787546;6016696;632;44226;183;115;44147;208;186;56936;263;229;58572;86;-1;74;-1;48
5787547;6016696;613;42911;192;122;43668;226;199;57836;259;207;59472;86;-1;74;-1;48
5787548;6016696;610;42685;192;122;43668;223;195;57563;255;203;59199;86;-1;74;-1;48
5787549;6016696;612;42819;192;122;43668;226;199;57855;255;207;59492;86;-1;75;-1;49
5787550;6016696;649;45402;201;127;45728;228;182;68220;263;220;63231;86;-1;75;-1;49
5789447;6016696;595;41657;173;110;42048;172;154;55511;183;146;53874;79;-1;68;-1;45
5789448;6016696;599;41937;173;110;42051;172;155;55531;183;147;53895;79;-1;68;-1;45
5789449;6016696;604;42286;175;111;42741;172;155;55592;183;147;53956;80;-1;69;-1;46
5789450;6016696;631;44168;175;111;42741;208;185;56878;263;228;58514;80;-1;69;-1;46
5789451;6016696;632;44206;183;115;44147;208;186;56916;263;229;58552;83;-1;72;-1;48
5789452;6016696;605;42347;183;115;44147;223;193;54430;245;201;56066;85;-1;74;-1;48
5789453;6016696;605;42383;192;122;43668;223;194;54466;245;202;56102;86;-1;74;-1;48
5789454;6016696;607;42470;192;122;43668;223;199;57845;248;207;59481;85;-1;74;-1;48
5789455;6016696;609;42646;201;127;45761;226;198;54729;255;206;56366;86;-1;75;-1;49
5789456;6016696;646;45241;201;127;45761;218;180;68059;263;218;63071;92;-1;81;-1;55
5791353;6016696;603;42203;172;109;41609;175;159;55871;193;151;54234;78;-1;68;-1;45
5791354;6016696;600;41971;174;110;42380;172;156;55638;193;148;54002;80;-1;69;-1;45
5791355;6016696;600;42000;174;110;42293;166;151;55300;183;143;53663;79;-1;69;-1;45
5791356;6016696;601;42097;176;111;42675;172;156;55648;193;148;54011;80;-1;70;-1;46
5791357;6016696;603;42184;175;111;42741;175;159;55716;193;151;54080;80;-1;69;-1;46
5791358;6016696;603;42236;175;111;42741;220;192;54318;241;200;55955;80;-1;69;-1;46
5791359;6016696;601;42038;175;111;42741;208;189;54121;238;213;59791;85;-1;74;-1;48
5791360;6016696;601;42092;192;122;43668;214;190;54175;238;198;55812;85;-1;74;-1;48
5791361;6016696;606;42446;201;127;45761;223;195;54529;245;203;56165;85;-1;74;-1;48
5791362;6016696;611;42757;201;127;45761;226;199;54840;255;207;56476;86;-1;74;-1;49
5791363;6016696;646;45236;201;127;45761;218;179;68054;263;217;63066;92;-1;81;-1;55
5793258;6016696;608;42589;175;111;42854;184;165;56257;203;157;54620;80;-1;70;-1;46
5793259;6016696;604;42288;175;111;42798;178;161;55956;193;153;54320;80;-1;69;-1;46
5793260;6016696;605;42323;174;110;42384;178;161;55991;193;153;54354;80;-1;69;-1;45
5793261;6016696;599;41908;175;111;42461;172;155;55435;183;147;53799;80;-1;69;-1;45
5793262;6016696;597;41804;175;111;42504;172;155;55433;183;147;53797;80;-1;70;-1;46
5793263;6016696;598;41851;175;111;42504;178;148;53380;193;152;53380;80;-1;70;-1;46
5793264;6016696;597;41782;178;113;42215;208;185;53865;235;209;59536;85;-1;73;-1;48
5793265;6016696;597;41823;178;113;42153;208;186;53906;238;210;59576;85;-1;73;-1;48
5793266;6016696;598;41832;184;116;42198;208;186;53915;238;210;59585;85;-1;74;-1;48
5793267;6016696;609;42606;184;116;42198;226;197;54690;255;205;56326;85;-1;74;-1;48
5793268;6016696;614;43004;201;127;45761;232;203;55087;263;211;56723;86;-1;74;-1;49
5793269;6016696;644;45102;199;126;45281;244;189;68735;263;227;63747;91;-1;80;-1;54
5793270;6016696;642;44921;199;126;45281;234;187;68555;263;225;63566;91;-1;80;-1;54
5795164;6016696;609;42664;175;111;42798;184;154;54695;203;158;54695;80;-1;70;-1;46
5795165;6016696;611;42745;175;111;42798;184;155;54776;203;159;54776;80;-1;70;-1;46
5795166;6016696;610;42675;179;113;42191;184;154;54707;203;158;54707;83;-1;72;-1;48
5795167;6016696;594;41583;175;111;42428;172;156;54734;193;148;53098;80;-1;70;-1;46
5795168;6016696;594;41583;178;113;42215;172;156;54735;193;148;53098;82;-1;71;-1;47
5795169;6016696;595;41664;178;113;42215;172;157;54829;193;149;53193;82;-1;71;-1;47
5795170;6016696;593;41513;178;113;42153;208;181;53596;229;185;53596;82;-1;71;-1;47
5795171;6016696;592;41431;178;113;42056;208;180;53514;229;184;53514;85;-1;73;-1;48
5795172;6016696;597;41766;184;116;42198;208;185;53849;235;209;59519;85;-1;74;-1;48
5795173;6016696;600;41995;184;116;42198;208;188;54078;238;212;59748;85;-1;74;-1;48
5795174;6016696;597;41804;184;116;42198;208;185;53887;235;209;59557;85;-1;74;-1;48
5795175;6016696;596;41742;184;116;42198;208;185;53824;235;208;59495;85;-1;74;-1;48
5795176;6016696;642;44957;182;115;42009;234;187;68591;263;225;63603;86;-1;75;-1;49
5797069;6016696;581;40693;169;107;40918;202;162;53230;197;182;54674;-1;-1;-1;-1;-1
5797070;6016696;612;42862;169;107;40918;184;157;54894;203;161;54894;81;-1;70;-1;47
5797071;6016696;614;42979;179;113;42191;184;159;55010;203;163;55010;84;-1;73;-1;48
5797072;6016696;595;41674;179;113;42191;172;157;54826;193;149;53189;83;-1;72;-1;47
5797073;6016696;591;41389;179;113;42191;172;153;54541;183;145;52904;81;-1;70;-1;46
5797074;6016696;590;41271;177;112;41946;166;152;54436;183;144;52800;81;-1;70;-1;46
5797075;6016696;593;41480;178;113;42153;172;154;54645;183;146;53008;82;-1;71;-1;47
5797076;6016696;589;41196;178;113;42056;205;177;53279;222;181;53279;83;-1;72;-1;48
5797077;6016696;590;41322;178;113;42056;205;179;53405;225;183;53405;85;-1;73;-1;48
5797078;6016696;595;41656;184;116;42198;208;183;53739;229;187;53739;85;-1;74;-1;48
5797079;6016696;594;41563;184;116;42198;208;182;53646;229;186;53646;85;-1;74;-1;48
5797080;6016696;594;41608;184;116;42198;208;183;53691;229;187;53691;85;-1;74;-1;48
5797081;6016696;594;41594;184;116;42198;208;182;53677;229;186;53677;85;-1;74;-1;48
5797082;6016696;591;41388;182;115;42009;214;185;68455;239;215;56531;86;-1;75;-1;49
5798974;6016696;562;39320;165;105;39487;184;143;51857;182;162;53302;74;-1;64;-1;41
5798975;6016696;617;43222;178;112;43491;187;162;55254;223;166;55254;81;-1;71;-1;47
5798976;6016696;617;43217;178;112;43491;187;162;55248;223;166;55248;81;-1;70;-1;47
5798977;6016696;617;43224;179;113;42191;187;162;55255;223;166;55255;83;-1;72;-1;47
