from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;6016692;-1;-1;185;117;45102;-1;-1;-1;-1;-1;-1;86;53303;75;53281;50
5785641;6016692;-1;-1;192;121;44085;-1;-1;-1;-1;-1;-1;88;53514;76;53492;50
5785642;6016692;-1;-1;192;121;44085;-1;-1;-1;-1;-1;-1;88;52916;76;51117;50
5785643;6016692;-1;-1;201;127;46145;-1;-1;-1;-1;-1;-1;88;55472;77;53674;50
5787544;6016692;-1;-1;182;115;44563;-1;-1;-1;-1;-1;-1;85;52878;74;52855;49
5787545;6016692;-1;-1;182;115;44563;-1;-1;-1;-1;-1;-1;85;53164;74;53142;49
5787546;6016692;-1;-1;182;115;44563;-1;-1;-1;-1;-1;-1;88;51942;76;50143;50
5787547;6016692;-1;-1;192;121;44085;-1;-1;-1;-1;-1;-1;88;52333;76;50534;50
5787548;6016692;-1;-1;192;121;44085;-1;-1;-1;-1;-1;-1;88;52454;76;50656;50
5787549;6016692;-1;-1;192;121;44085;-1;-1;-1;-1;-1;-1;88;52698;77;50899;50
5787550;6016692;-1;-1;201;127;46145;-1;-1;-1;-1;-1;-1;88;55271;77;53472;50
5789447;6016692;-1;-1;172;109;42464;-1;-1;-1;-1;-1;-1;81;50688;70;50666;46
5789448;6016692;-1;-1;172;109;42467;-1;-1;-1;-1;-1;-1;81;51053;70;51030;46
5789449;6016692;-1;-1;175;110;43157;-1;-1;-1;-1;-1;-1;82;51479;71;51456;47
5789450;6016692;-1;-1;175;110;43157;-1;-1;-1;-1;-1;-1;82;51797;71;51775;47
5789451;6016692;-1;-1;182;115;44563;-1;-1;-1;-1;-1;-1;85;53125;74;53102;49
5789452;6016692;-1;-1;182;115;44563;-1;-1;-1;-1;-1;-1;87;51841;76;50042;49
5789453;6016692;-1;-1;192;121;44085;-1;-1;-1;-1;-1;-1;88;52018;76;50219;50
