from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;6016698;631;44178;182;115;44170;204;185;56888;259;228;58524;83;52343;72;52320;48
5785641;6016698;611;42781;189;120;43152;216;188;57094;259;196;58730;85;52554;74;52531;48
5785642;6016698;612;42861;189;120;43152;219;190;57212;259;198;58848;85;51955;74;50156;48
5785643;6016698;616;43154;198;125;45212;228;194;57504;259;202;59141;85;54512;74;52713;48
5787544;6016698;624;43688;180;114;43631;204;178;56398;239;182;56398;82;51917;71;51895;47
5787545;6016698;625;43757;180;114;43631;204;179;56468;239;183;56468;82;52203;71;52181;47
5787546;6016698;628;43983;180;114;43631;204;183;56693;259;226;58330;85;50981;73;49182;48
5787547;6016698;610;42667;189;120;43152;222;195;57593;255;203;59229;85;51372;73;49574;48
5787548;6016698;606;42442;189;120;43152;219;192;57320;251;200;58956;85;51494;73;49695;48
5787549;6016698;608;42576;189;120;43152;222;196;57612;251;204;59249;85;51737;74;49938;48
5787550;6016698;645;45158;198;125;45212;225;178;67977;259;216;62988;85;54310;74;52512;48
5789447;6016698;592;41414;170;108;41532;168;151;55268;180;143;53632;78;49727;67;49705;44
5789448;6016698;596;41694;170;108;41535;168;151;55288;180;143;53652;78;50092;68;50070;44
5789449;6016698;601;42042;172;109;42225;168;152;55349;180;144;53713;79;50518;68;50496;45
5789450;6016698;627;43924;172;109;42225;204;182;56635;259;225;58271;79;50836;68;50814;45
5789451;6016698;628;43963;180;114;43631;204;182;56673;259;225;58309;82;52164;71;52142;47
5789452;6016698;601;42103;180;114;43631;219;190;54187;242;198;55823;84;50880;73;49082;47
5789453;6016698;602;42140;189;120;43152;219;190;54223;242;198;55860;85;51057;73;49259;48
5789454;6016698;603;42227;189;120;43152;219;196;57602;244;204;59238;84;51321;73;49522;47
5789455;6016698;606;42403;198;126;45245;222;194;54486;251;202;56123;85;51542;74;49743;48
5789456;6016698;643;44998;198;126;45245;215;176;67816;259;214;62828;91;54221;80;52422;54
5791353;6016698;599;41959;169;107;41093;171;156;55628;190;148;53991;77;49318;67;49295;44
5791354;6016698;596;41727;171;108;41864;168;153;55396;190;145;53759;79;49909;68;49886;45
5791355;6016698;597;41756;171;108;41777;162;148;55057;180;140;53420;78;50089;68;50067;44
5791356;6016698;598;41854;173;109;42159;168;153;55405;190;145;53768;79;50714;69;50692;45
5791357;6016698;599;41941;172;109;42225;171;156;55473;190;148;53837;79;50828;68;50806;45
5791358;6016698;600;41992;172;109;42225;216;188;54076;238;196;55712;79;50375;68;48576;45
5791359;6016698;597;41794;172;109;42225;204;185;53878;235;209;59548;84;50698;73;48899;47
5791360;6016698;598;41849;189;120;43152;210;186;53932;235;194;55569;84;51066;73;49267;47
5791361;6016698;603;42202;198;126;45245;219;191;54286;242;199;55922;84;51420;73;49622;47
5791362;6016698;607;42513;198;126;45245;222;196;54597;251;204;56233;85;51729;74;49930;48
5791363;6016698;643;44993;198;126;45245;215;176;67811;259;214;62823;91;54116;80;52318;54
5793258;6016698;605;42345;172;109;42338;180;161;56014;200;153;54377;79;50582;69;50559;45
5793259;6016698;601;42045;172;109;42282;174;157;55713;190;149;54077;79;50422;68;50400;45
5793260;6016698;601;42080;171;108;41868;174;158;55748;190;150;54112;79;50386;68;50363;45
5793261;6016698;595;41665;172;109;41945;168;152;55192;180;144;53556;79;50166;68;50144;45
5793262;6016698;594;41560;172;109;41988;168;151;55190;180;143;53554;79;50591;69;50569;45
5793263;6016698;594;41608;172;109;41988;174;144;53137;190;148;53137;79;51697;69;51675;45
5793264;6016698;593;41539;175;111;41699;204;182;53622;232;206;59292;84;50319;72;48520;47
5793265;6016698;594;41579;175;111;41637;204;182;53663;235;206;59333;84;50652;72;48853;47
5793266;6016698;594;41588;181;115;41682;204;182;53672;235;206;59342;84;50849;73;49050;47
5793267;6016698;605;42363;181;115;41682;222;193;54447;251;201;56083;84;51644;73;49845;47
5793268;6016698;611;42761;198;126;45245;228;199;54844;259;207;56480;85;51870;74;50071;48
5793269;6016698;641;44858;196;124;44765;240;186;68492;259;224;63504;90;50682;79;48883;53
5793270;6016698;638;44678;196;124;44765;231;183;68312;259;221;63323;90;53571;79;51772;53
5795164;6016698;606;42420;172;109;42282;180;151;54452;200;155;54452;79;50706;69;50683;45
5795165;6016698;607;42502;172;109;42282;180;152;54534;200;156;54534;79;52482;69;52460;45
5795166;6016698;606;42432;176;111;41675;180;151;54464;200;155;54464;82;52331;72;52309;47
5795167;6016698;591;41339;172;109;41912;168;152;54491;190;144;52855;79;50717;69;50695;45
5795168;6016698;591;41340;175;111;41699;168;152;54492;190;144;52856;81;51279;70;51257;46
5795169;6016698;592;41421;175;111;41699;168;154;54586;190;146;52950;81;51501;70;51479;46
5795170;6016698;590;41269;175;111;41637;204;178;53353;226;182;53353;81;50058;70;48259;46
5795171;6016698;588;41188;175;111;41540;204;177;53272;226;181;53272;84;50359;72;48560;47
5795172;6016698;593;41523;181;115;41682;204;181;53606;232;205;59276;84;50801;73;49002;47
5795173;6016698;596;41751;181;115;41682;204;185;53835;235;209;59505;84;50892;73;49093;47
5795174;6016698;594;41561;181;115;41682;204;182;53644;232;206;59314;84;50526;73;48727;48
5795175;6016698;593;41498;181;115;41682;204;181;53582;232;205;59252;84;50663;73;48864;48
5795176;6016698;639;44714;179;113;41493;231;184;68348;259;222;63360;85;50187;74;48388;48
5797069;6016698;578;40450;166;105;40402;198;159;52987;193;178;54432;-1;-1;-1;-1;-1
5797070;6016698;609;42619;166;105;40402;180;153;54650;200;157;54650;80;50984;70;50962;46
5797071;6016698;611;42736;176;111;41675;180;155;54768;200;159;54768;83;52384;72;52362;47
5797072;6016698;592;41430;176;111;41675;168;154;54582;190;146;52946;82;52101;71;52078;47
5797073;6016698;588;41146;176;111;41675;168;150;54298;180;142;52661;80;52185;69;52163;45
5797074;6016698;586;41028;174;110;41430;162;148;54193;180;140;52557;80;51050;69;51028;45
5797075;6016698;589;41236;175;111;41637;168;151;54402;180;143;52765;81;51383;70;51360;46
5797076;6016698;585;40952;175;111;41540;201;173;53036;219;177;53036;82;50005;71;48206;47
5797077;6016698;587;41079;175;111;41540;201;175;53162;222;179;53162;84;50437;72;48638;47
5797078;6016698;592;41413;181;115;41682;204;180;53496;226;184;53496;84;50974;73;49176;47
5797079;6016698;590;41320;181;115;41682;204;179;53403;226;183;53403;84;50811;73;49012;47
5797080;6016698;591;41365;181;115;41682;204;179;53448;226;183;53448;84;50022;73;48223;48
5797081;6016698;591;41351;181;115;41682;204;179;53434;226;183;53434;84;50642;73;48843;48
5797082;6016698;588;41144;179;113;41493;210;182;68212;235;211;56288;85;50173;74;48375;48
5798974;6016698;558;39077;162;103;38971;180;139;51614;179;159;53059;73;47128;63;47106;41
5798975;6016698;614;42979;175;111;42975;183;159;55011;220;163;55011;80;51331;70;51309;46
5798976;6016698;614;42973;175;111;42975;183;158;55005;220;162;55005;80;51219;70;51197;46
5798977;6016698;614;42980;176;111;41675;183;159;55012;220;163;55012;82;52424;71;52402;47
5798978;6016698;585;40961;174;110;41099;168;151;54121;180;143;52485;82;51895;71;51873;47
5798979;6016698;583;40784;173;110;40989;165;148;53944;180;140;52308;82;52254;72;52231;47
5798980;6016698;583;40784;174;110;41108;165;148;53944;180;140;52308;81;51413;70;51391;46
5798981;6016698;587;41056;175;111;41408;168;152;54216;190;144;52580;82;51801;71;51779;47
