from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5785640;6016699;633;44305;223;184;56201;230;205;57383;80;52030;70;52008
5785641;6016699;613;42909;223;187;56407;230;208;57589;80;52241;70;52219
5785642;6016699;614;42988;223;189;56525;233;210;57706;87;51642;77;49844
5785643;6016699;618;43281;234;193;56818;240;214;57999;91;54199;81;52400
5787544;6016699;626;43815;208;177;55712;208;186;56893;79;51604;69;51582
5787545;6016699;627;43884;208;178;55781;215;187;56962;82;51891;72;51868
5787546;6016699;630;44110;223;181;56007;221;190;57188;84;50669;74;48870
5787547;6016699;611;42795;234;194;56906;234;215;58088;83;51060;73;49261
5787548;6016699;608;42569;223;190;56634;227;211;57815;82;51181;72;49382
5787549;6016699;610;42703;234;195;56926;234;216;58107;84;51424;74;49626
5787550;6016699;647;45286;285;257;57382;276;259;54926;88;53998;78;52199
5789447;6016699;593;41541;165;138;52945;170;147;54126;74;49415;64;49392
5789448;6016699;597;41821;165;138;52966;170;147;54147;75;49779;65;49757
5789449;6016699;602;42169;165;139;53026;173;148;54208;76;50205;66;50183
5789450;6016699;629;44052;219;181;55948;218;190;57130;79;50524;70;50502
5789451;6016699;630;44090;223;181;55986;221;190;57168;81;51851;71;51829
5789452;6016699;603;42231;223;189;53500;218;188;58767;83;50568;73;48769
5789453;6016699;604;42267;223;189;53537;218;189;58804;82;50745;72;48946
5789454;6016699;605;42354;223;190;53624;221;190;58891;82;51009;72;49210
5789455;6016699;608;42530;230;193;53800;224;193;59067;84;51229;73;49431
5789456;6016699;645;45125;278;255;57222;276;257;54765;86;53908;76;52109
5791353;6016699;601;42087;177;143;53305;173;152;54486;72;49005;62;48983
5791354;6016699;598;41855;165;139;53073;170;148;54254;73;49596;63;49574
5791355;6016699;598;41884;159;135;52734;170;144;53915;74;49777;64;49754
