from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5785640;6016691;-1;-1;-1;-1;-1;-1;-1;-1;81;53275;71;53253
5785641;6016691;-1;-1;-1;-1;-1;-1;-1;-1;81;53486;71;53464
5785642;6016691;-1;-1;-1;-1;-1;-1;-1;-1;89;52887;78;51089
5785643;6016691;-1;-1;-1;-1;-1;-1;-1;-1;92;55444;82;53645
5787544;6016691;-1;-1;-1;-1;-1;-1;-1;-1;80;52849;70;52827
5787545;6016691;-1;-1;-1;-1;-1;-1;-1;-1;83;53136;73;53113
5787546;6016691;-1;-1;-1;-1;-1;-1;-1;-1;86;51913;75;50115
5787547;6016691;-1;-1;-1;-1;-1;-1;-1;-1;85;52305;74;50506
5787548;6016691;-1;-1;-1;-1;-1;-1;-1;-1;84;52426;73;50627
5787549;6016691;-1;-1;-1;-1;-1;-1;-1;-1;86;52669;75;50870
5787550;6016691;-1;-1;-1;-1;-1;-1;-1;-1;90;55243;79;53444
5789447;6016691;-1;-1;-1;-1;-1;-1;-1;-1;75;50659;65;50637
5789448;6016691;-1;-1;-1;-1;-1;-1;-1;-1;76;51024;66;51002
5789449;6016691;-1;-1;-1;-1;-1;-1;-1;-1;77;51450;67;51428
5789450;6016691;-1;-1;-1;-1;-1;-1;-1;-1;81;51769;71;51746
5789451;6016691;-1;-1;-1;-1;-1;-1;-1;-1;83;53096;72;53074
5789452;6016691;-1;-1;-1;-1;-1;-1;-1;-1;85;51813;74;50014
5789453;6016691;-1;-1;-1;-1;-1;-1;-1;-1;83;51990;73;50191
5789454;6016691;-1;-1;-1;-1;-1;-1;-1;-1;84;52253;73;50455
5789455;6016691;-1;-1;-1;-1;-1;-1;-1;-1;85;52474;74;50676
5789456;6016691;-1;-1;-1;-1;-1;-1;-1;-1;88;55153;77;53354
5791353;6016691;-1;-1;-1;-1;-1;-1;-1;-1;73;50250;64;50228
5791354;6016691;-1;-1;-1;-1;-1;-1;-1;-1;75;50841;64;50819
5791355;6016691;-1;-1;-1;-1;-1;-1;-1;-1;75;51022;65;50999
5791356;6016691;-1;-1;-1;-1;-1;-1;-1;-1;78;51647;68;51624
5791357;6016691;-1;-1;-1;-1;-1;-1;-1;-1;81;51761;71;51738
5791358;6016691;-1;-1;-1;-1;-1;-1;-1;-1;84;51307;74;49508
5791359;6016691;-1;-1;-1;-1;-1;-1;-1;-1;83;51630;72;49832
5791360;6016691;-1;-1;-1;-1;-1;-1;-1;-1;85;51998;74;50200
5791361;6016691;-1;-1;-1;-1;-1;-1;-1;-1;86;52353;76;50554
5791362;6016691;-1;-1;-1;-1;-1;-1;-1;-1;88;52661;77;50862
5791363;6016691;-1;-1;-1;-1;-1;-1;-1;-1;89;55049;79;53250
5793258;6016691;-1;-1;-1;-1;-1;-1;-1;-1;76;51514;66;51492
