from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5785640;6016697;633;44323;224;184;56220;231;205;57401;76;52312;66;52290
5785641;6016697;613;42927;224;187;56425;231;208;57607;77;52523;67;52500
5785642;6016697;614;43006;224;189;56543;234;210;57725;84;51924;74;50125
5785643;6016697;619;43299;234;193;56836;240;214;58018;88;54481;78;52682
5787544;6016697;626;43834;208;177;55730;209;186;56912;75;51886;66;51864
5787545;6016697;627;43903;208;178;55799;215;187;56981;78;52172;69;52150
5787546;6016697;630;44128;224;182;56025;221;191;57206;81;50950;71;49152
5787547;6016697;612;42813;234;194;56924;234;215;58106;80;51341;70;49543
5787548;6016697;608;42587;224;191;56652;228;212;57833;79;51463;69;49664
5787549;6016697;610;42721;234;195;56944;234;216;58126;81;51706;71;49907
5787550;6016697;647;45304;285;257;57401;277;260;54944;85;54280;75;52481
5789447;6016697;594;41559;165;138;52963;171;147;54145;71;49696;61;49674
5789448;6016697;598;41839;165;138;52984;171;147;54165;72;50061;62;50039
5789449;6016697;603;42188;165;139;53044;173;148;54226;72;50487;63;50465
5789450;6016697;630;44070;219;181;55966;218;190;57148;76;50806;66;50783
5789451;6016697;630;44108;224;181;56005;221;190;57186;78;52133;68;52111
5789452;6016697;604;42249;224;189;53518;218;189;58786;80;50850;70;49051
5789453;6016697;604;42285;224;189;53555;218;189;58822;78;51026;68;49228
5789454;6016697;605;42372;224;191;53642;221;190;58909;79;51290;69;49492
5789455;6016697;608;42548;230;193;53818;224;193;59085;80;51511;70;49712
5789456;6016697;645;45143;278;255;57240;276;257;54783;83;54190;73;52391
5791353;6016697;601;42105;177;143;53323;173;152;54504;69;49287;59;49264
5791354;6016697;598;41873;165;140;53091;171;149;54272;70;49878;60;49856
5791355;6016697;599;41902;159;135;52752;171;144;53933;71;50058;61;50036
5791356;6016697;600;41999;165;140;53100;173;149;54281;74;50684;64;50661
5791357;6016697;601;42087;177;143;53168;176;152;54350;76;50798;67;50775
5791358;6016697;602;42138;224;187;53407;215;187;58674;80;50344;69;48545
5791359;6016697;599;41940;224;184;53210;215;184;58477;78;50667;68;48869
5791360;6016697;600;41994;224;185;53264;215;185;58531;80;51035;70;49237
5791361;6016697;605;42348;224;190;53617;221;190;58884;81;51390;71;49591
5791362;6016697;609;42659;234;195;53928;234;216;55110;83;51698;73;49899
5791363;6016697;645;45138;278;255;57235;276;257;54778;85;54085;75;52287
5793258;6016697;607;42491;183;149;53709;182;158;54890;71;50551;61;50529
5793259;6016697;603;42190;177;144;53409;179;153;54590;72;50391;63;50369
5793260;6016697;603;42225;177;145;53443;179;154;54625;73;50355;63;50333
5793261;6016697;597;41810;165;139;52888;173;148;54069;71;50136;61;50113
5793262;6016697;596;41706;165;139;52886;173;148;54067;73;50561;64;50538
5793263;6016697;596;41753;177;143;52469;187;152;53650;78;51666;68;51644
5793264;6016697;595;41684;219;181;52954;209;181;58221;79;50288;69;48489
5793265;6016697;596;41725;224;181;52995;212;181;58262;78;50621;68;48822
5793266;6016697;596;41734;224;181;53004;212;181;58271;81;50818;71;49019
5793267;6016697;607;42508;230;193;53778;224;192;59045;85;51613;75;49814
5793268;6016697;613;42906;241;198;54176;234;219;55357;85;51839;75;50040
5793269;6016697;643;45004;278;253;57100;272;253;56267;81;50651;71;48853
5793270;6016697;640;44823;278;250;56920;267;252;62088;84;53540;74;51741
5795164;6016697;608;42566;190;150;53784;182;159;54965;72;50675;63;50653
5795165;6016697;609;42647;190;151;53865;188;160;55047;77;52451;67;52429
5795166;6016697;608;42577;190;150;53795;182;159;54977;78;52301;68;52278
5795167;6016697;593;41485;165;139;52187;176;148;53368;72;50686;62;50664
5795168;6016697;593;41485;165;139;52187;176;148;53369;74;51248;64;51226
5795169;6016697;594;41566;165;141;52282;181;150;53463;76;51470;66;51448
5795170;6016697;592;41415;208;177;52684;202;177;57952;77;50027;67;48228
5795171;6016697;590;41334;202;176;52603;202;176;57870;78;50328;68;48529
5795172;6016697;595;41668;219;181;52938;209;180;58205;81;50770;70;48972
5795173;6016697;599;41897;224;184;53166;215;184;58433;82;50861;72;49062
5795174;6016697;596;41706;219;181;52976;209;181;58243;79;50495;69;48696
5795175;6016697;595;41644;219;180;52913;209;180;58180;81;50632;71;48833
5795176;6016697;641;44860;278;251;56956;272;253;62124;77;50156;67;48357
5797069;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5797070;6016697;611;42764;190;152;53982;191;161;55164;73;50953;63;50931
5797071;6016697;613;42881;190;154;54099;193;163;55281;76;52353;66;52331
5797072;6016697;594;41576;165;141;52278;181;150;53459;76;52070;65;52048
5797073;6016697;590;41291;165;137;51993;178;146;53174;75;52155;65;52132
5797074;6016697;588;41173;159;135;51889;181;144;53070;73;51019;63;50997
5797075;6016697;591;41382;165;138;52097;181;147;53279;75;51352;65;51330
5797076;6016697;587;41098;202;172;52368;199;181;53549;78;49974;67;48175
5797077;6016697;589;41224;202;174;52494;202;174;57761;81;50406;71;48608
5797078;6016697;594;41558;208;179;52828;205;179;58095;83;50944;73;49145
5797079;6016697;592;41465;208;178;52735;205;177;58002;81;50780;71;48981
5797080;6016697;593;41510;208;178;52780;205;178;58047;77;49991;67;48192
5797081;6016697;593;41496;208;178;52766;205;178;58033;81;50611;70;48812
5797082;6016697;590;41290;230;194;52205;218;200;50929;76;50142;67;48344
5798974;6016697;560;39222;166;121;49343;155;117;49343;64;47097;56;47075
5798975;6016697;616;43124;190;158;54342;193;167;55524;73;51301;64;51278
5798976;6016697;616;43119;190;158;54337;193;167;55518;76;51188;66;51166
5798977;6016697;616;43126;190;158;54344;193;167;55525;77;52393;66;52371
5798978;6016697;587;41106;165;138;51816;181;147;52998;75;51865;65;51842
5798979;6016697;585;40929;159;135;51640;181;144;52821;75;52223;65;52200
5798980;6016697;585;40930;159;135;51640;181;144;52821;74;51383;64;51360
5798981;6016697;589;41201;165;139;51911;181;148;53093;76;51770;66;51748
5798982;6016697;585;40930;202;170;52200;196;170;57467;77;49834;67;48036
5798983;6016697;583;40804;202;168;52074;196;168;57341;79;49775;69;47976
5798984;6016697;583;40797;196;168;52067;196;168;57334;81;49766;71;47967
5798985;6016697;588;41162;202;173;52432;199;182;53613;77;49658;67;47859
5798986;6016697;586;41024;202;171;52294;199;180;53475;78;49924;68;48125
5798987;6016697;590;41280;202;175;52550;202;175;57817;80;50383;70;48585
5798988;6016697;584;40874;214;188;51789;206;192;53200;75;49618;66;47819
5800879;6016697;553;38726;141;114;48846;143;110;48846;64;46818;55;46796
5800880;6016697;557;39005;147;118;49125;149;114;49125;64;47093;55;47071
5800881;6016697;619;43329;190;161;54547;199;170;55729;62;46721;54;46699
5800882;6016697;586;41018;190;157;52586;193;166;53767;80;53896;70;53873
5800883;6016697;586;41054;190;157;52622;193;166;53803;79;53673;69;53650
5800884;6016697;585;40975;165;136;51709;181;145;52890;75;51681;64;51659
5800885;6016697;582;40711;159;133;51482;181;142;52663;74;51384;64;51362
5800886;6016697;579;40563;159;135;51625;181;144;52807;76;51675;66;51653
5800887;6016697;581;40683;165;139;51899;181;148;53080;76;51759;66;51737
5800888;6016697;573;40141;190;159;51411;184;159;56678;76;48950;66;47152
5800889;6016697;579;40545;196;165;51815;190;164;57082;77;49539;67;47741
5800890;6016697;580;40621;196;166;51890;190;165;57158;79;49452;69;47653
5800891;6016697;583;40832;202;169;52102;196;168;57369;76;49329;66;47530
5800892;6016697;582;40768;196;168;52038;196;168;57305;78;49803;68;48005
5800893;6016697;585;40930;202;170;52200;196;170;57467;80;50344;70;48545
5800894;6016697;583;40783;214;186;51698;206;191;53109;76;49624;66;47826
5800895;6016697;579;40544;214;183;51459;203;190;50183;76;49524;66;47726
5802783;6016697;552;38628;141;113;48748;143;109;48748;65;46815;56;46793
5802784;6016697;550;38509;141;111;48629;138;107;48629;66;46786;57;46763
5802785;6016697;554;38787;141;115;48908;143;111;48908;60;46291;52;46269
5802786;6016697;588;41155;190;159;52723;196;168;53904;62;46474;54;46451
5802787;6016697;585;40918;190;155;52486;193;164;53667;78;53707;67;53684
5802788;6016697;582;40720;190;153;52288;193;162;53469;78;53460;67;53437
5802789;6016697;582;40720;190;153;52288;193;162;53470;76;51922;66;51900
5802790;6016697;583;40789;165;137;51731;181;146;52913;75;51445;65;51422
5802791;6016697;576;40291;159;135;51089;181;144;52270;75;51718;65;51696
5802792;6016697;579;40527;165;139;51325;181;148;52507;75;52020;65;51998
5802793;6016697;570;39913;190;155;51183;184;155;56450;76;48892;65;47093
5802794;6016697;575;40248;190;160;51518;190;160;56785;76;49177;66;47378
5802795;6016697;575;40249;190;160;51519;190;160;56786;75;49178;65;47379
5802796;6016697;577;40363;196;162;51632;190;162;56899;77;49374;67;47575
5802797;6016697;582;40724;196;167;51994;193;167;57261;78;49695;68;47896
5802798;6016697;584;40898;202;170;52168;196;169;57435;79;49437;69;47639
5802799;6016697;575;40226;208;179;51142;196;183;52552;74;48938;64;47139
5802800;6016697;574;40147;208;177;51062;193;182;52473;75;49106;65;47307
5802801;6016697;579;40516;214;183;51431;200;187;52842;76;49465;66;47666
5804689;6016697;549;38462;141;111;48582;132;107;48582;64;46506;55;46484
5804690;6016697;547;38291;135;108;48412;132;104;48412;65;46498;56;46475
5804691;6016697;550;38492;141;116;48936;143;112;48936;64;46481;56;46459
5804692;6016697;553;38684;147;118;49128;149;114;49128;68;46921;59;46898
5804693;6016697;585;40919;190;155;52487;193;164;53668;79;53770;69;53748
5804694;6016697;578;40480;183;149;52048;187;158;53229;78;53376;67;53354
