from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5785640;6016692;-1;-1;-1;-1;-1;-1;-1;-1;82;53303;71;53281
5785641;6016692;-1;-1;-1;-1;-1;-1;-1;-1;82;53514;72;53492
5785642;6016692;-1;-1;-1;-1;-1;-1;-1;-1;89;52916;79;51117
5785643;6016692;-1;-1;-1;-1;-1;-1;-1;-1;93;55472;83;53674
5787544;6016692;-1;-1;-1;-1;-1;-1;-1;-1;81;52878;71;52855
5787545;6016692;-1;-1;-1;-1;-1;-1;-1;-1;84;53164;74;53142
5787546;6016692;-1;-1;-1;-1;-1;-1;-1;-1;87;51942;76;50143
5787547;6016692;-1;-1;-1;-1;-1;-1;-1;-1;85;52333;75;50534
5787548;6016692;-1;-1;-1;-1;-1;-1;-1;-1;84;52454;74;50656
5787549;6016692;-1;-1;-1;-1;-1;-1;-1;-1;86;52698;76;50899
5787550;6016692;-1;-1;-1;-1;-1;-1;-1;-1;90;55271;80;53472
5789447;6016692;-1;-1;-1;-1;-1;-1;-1;-1;76;50688;66;50666
5789448;6016692;-1;-1;-1;-1;-1;-1;-1;-1;77;51053;67;51030
5789449;6016692;-1;-1;-1;-1;-1;-1;-1;-1;78;51479;68;51456
5789450;6016692;-1;-1;-1;-1;-1;-1;-1;-1;81;51797;71;51775
5789451;6016692;-1;-1;-1;-1;-1;-1;-1;-1;83;53125;73;53102
5789452;6016692;-1;-1;-1;-1;-1;-1;-1;-1;85;51841;75;50042
5789453;6016692;-1;-1;-1;-1;-1;-1;-1;-1;84;52018;73;50219
5789454;6016692;-1;-1;-1;-1;-1;-1;-1;-1;84;52282;74;50483
5789455;6016692;-1;-1;-1;-1;-1;-1;-1;-1;86;52503;75;50704
5789456;6016692;-1;-1;-1;-1;-1;-1;-1;-1;88;55181;78;53383
5791353;6016692;-1;-1;-1;-1;-1;-1;-1;-1;74;50278;64;50256
5791354;6016692;-1;-1;-1;-1;-1;-1;-1;-1;75;50869;65;50847
5791355;6016692;-1;-1;-1;-1;-1;-1;-1;-1;76;51050;66;51028
5791356;6016692;-1;-1;-1;-1;-1;-1;-1;-1;79;51675;69;51653
5791357;6016692;-1;-1;-1;-1;-1;-1;-1;-1;82;51789;72;51767
5791358;6016692;-1;-1;-1;-1;-1;-1;-1;-1;85;51336;75;49537
5791359;6016692;-1;-1;-1;-1;-1;-1;-1;-1;83;51659;73;49860
5791360;6016692;-1;-1;-1;-1;-1;-1;-1;-1;85;52027;75;50228
5791361;6016692;-1;-1;-1;-1;-1;-1;-1;-1;87;52381;76;50583
