from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5785640;6016698;631;44178;222;182;56074;229;203;57256;78;52343;68;52320
5785641;6016698;611;42781;222;185;56280;229;206;57461;78;52554;68;52531
5785642;6016698;612;42861;222;187;56398;232;208;57579;85;51955;75;50156
5785643;6016698;616;43154;232;191;56691;238;212;57872;89;54512;79;52713
5787544;6016698;624;43688;206;175;55585;207;184;56766;77;51917;67;51895
5787545;6016698;625;43757;206;176;55654;213;185;56835;80;52203;70;52181
5787546;6016698;628;43983;222;180;55880;219;189;57061;82;50981;72;49182
5787547;6016698;610;42667;232;192;56779;232;213;57960;81;51372;71;49574
5787548;6016698;606;42442;222;189;56506;226;210;57688;80;51494;70;49695
5787549;6016698;608;42576;232;193;56799;232;214;57980;82;51737;72;49938
5787550;6016698;645;45158;283;255;57255;274;258;54798;86;54310;76;52512
5789447;6016698;592;41414;163;136;52818;169;145;53999;72;49727;62;49705
5789448;6016698;596;41694;163;136;52838;169;145;54020;73;50092;63;50070
5789449;6016698;601;42042;163;137;52899;171;146;54080;74;50518;64;50496
5789450;6016698;627;43924;217;179;55821;216;188;57002;77;50836;68;50814
5789451;6016698;628;43963;222;179;55859;219;188;57041;79;52164;69;52142
5789452;6016698;601;42103;222;187;53373;216;187;58640;81;50880;71;49082
5789453;6016698;602;42140;222;187;53409;216;187;58676;80;51057;70;49259
5789454;6016698;603;42227;222;189;53496;219;188;58763;80;51321;70;49522
5789455;6016698;606;42403;228;191;53673;222;191;58940;82;51542;72;49743
5789456;6016698;643;44998;276;253;57094;274;255;54637;84;54221;74;52422
5791353;6016698;599;41959;175;141;53178;171;150;54359;70;49318;61;49295
5791354;6016698;596;41727;163;138;52946;169;147;54127;71;49909;62;49886
5791355;6016698;597;41756;157;133;52606;169;142;53788;72;50089;62;50067
5791356;6016698;598;41854;163;138;52954;171;147;54136;75;50714;65;50692
5791357;6016698;599;41941;175;141;53023;174;150;54204;78;50828;68;50806
5791358;6016698;600;41992;222;185;53262;213;185;58529;81;50375;71;48576
5791359;6016698;597;41794;222;182;53064;213;182;58331;79;50698;69;48899
5791360;6016698;598;41849;222;183;53118;213;183;58386;81;51066;71;49267
5791361;6016698;603;42202;222;188;53472;219;188;58739;83;51420;73;49622
5791362;6016698;607;42513;232;193;53783;232;214;54964;84;51729;74;49930
5791363;6016698;643;44993;276;253;57089;274;255;54632;86;54116;76;52318
5793258;6016698;605;42345;181;146;53564;180;155;54745;73;50582;63;50559
5793259;6016698;601;42045;175;142;53263;177;151;54445;74;50422;64;50400
5793260;6016698;601;42080;175;143;53298;177;152;54479;74;50386;65;50363
5793261;6016698;595;41665;163;137;52742;171;146;53924;72;50166;62;50144
5793262;6016698;594;41560;163;136;52740;171;145;53922;75;50591;65;50569
5793263;6016698;594;41608;175;141;52323;185;150;53505;80;51697;70;51675
5793264;6016698;593;41539;217;179;52809;207;179;58076;81;50319;71;48520
5793265;6016698;594;41579;222;179;52849;210;179;58116;80;50652;70;48853
5793266;6016698;594;41588;222;179;52858;210;179;58125;83;50849;72;49050
5793267;6016698;605;42363;228;190;53633;222;190;58900;86;51644;76;49845
5793268;6016698;611;42761;239;196;54030;232;217;55212;86;51870;76;50071
5793269;6016698;641;44858;276;251;56955;270;251;56122;82;50682;72;48883
5793270;6016698;638;44678;276;248;56774;265;250;61942;85;53571;75;51772
5795164;6016698;606;42420;188;148;53638;180;157;54820;74;50706;64;50683
5795165;6016698;607;42502;188;149;53720;186;158;54901;79;52482;69;52460
5795166;6016698;606;42432;188;148;53650;180;157;54831;79;52331;69;52309
5795167;6016698;591;41339;163;137;52041;174;146;53222;73;50717;63;50695
5795168;6016698;591;41340;163;137;52042;174;146;53223;75;51279;65;51257
5795169;6016698;592;41421;163;139;52136;179;148;53318;78;51501;68;51479
5795170;6016698;590;41269;206;175;52539;200;175;57806;78;50058;68;48259
5795171;6016698;588;41188;200;174;52458;200;174;57725;80;50359;70;48560
5795172;6016698;593;41523;217;178;52792;207;178;58059;82;50801;72;49002
5795173;6016698;596;41751;222;182;53021;213;182;58288;83;50892;73;49093
5795174;6016698;594;41561;217;179;52830;207;179;58098;81;50526;71;48727
5795175;6016698;593;41498;217;178;52768;207;178;58035;82;50663;72;48864
5795176;6016698;639;44714;276;249;56811;270;251;61979;78;50187;68;48388
5797069;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5797070;6016698;609;42619;188;150;53837;189;159;55018;74;50984;65;50962
5797071;6016698;611;42736;188;152;53954;191;161;55135;77;52384;67;52362
5797072;6016698;592;41430;163;139;52132;179;148;53314;77;52101;67;52078
5797073;6016698;588;41146;163;135;51848;176;144;53029;77;52185;66;52163
5797074;6016698;586;41028;157;133;51743;179;142;52924;74;51050;64;51028
5797075;6016698;589;41236;163;136;51952;179;145;53133;76;51383;66;51360
5797076;6016698;585;40952;200;170;52222;197;179;53404;79;50005;69;48206
5797077;6016698;587;41079;200;172;52349;200;172;57616;83;50437;72;48638
5797078;6016698;592;41413;206;177;52682;203;177;57949;84;50974;74;49176
5797079;6016698;590;41320;206;176;52590;203;175;57857;82;50811;72;49012
5797080;6016698;591;41365;206;176;52634;203;176;57901;78;50022;68;48223
5797081;6016698;591;41351;206;176;52620;203;176;57887;82;50642;72;48843
5797082;6016698;588;41144;228;192;52060;216;198;50784;78;50173;68;48375
5798974;6016698;558;39077;164;119;49197;153;115;49197;66;47128;57;47106
5798975;6016698;614;42979;188;156;54197;191;165;55378;75;51331;65;51309
5798976;6016698;614;42973;188;155;54192;191;164;55373;77;51219;67;51197
5798977;6016698;614;42980;188;156;54198;191;165;55380;78;52424;68;52402
5798978;6016698;585;40961;163;136;51671;179;145;52852;76;51895;66;51873
5798979;6016698;583;40784;157;133;51494;179;142;52675;77;52254;67;52231
5798980;6016698;583;40784;157;133;51494;179;142;52676;75;51413;65;51391
5798981;6016698;587;41056;163;137;51766;179;146;52947;77;51801;67;51779
5798982;6016698;583;40784;200;168;52054;194;168;57321;78;49865;68;48067
5798983;6016698;581;40659;200;166;51929;194;166;57196;80;49805;70;48007
5798984;6016698;581;40652;194;166;51922;194;166;57189;82;49797;72;47998
5798985;6016698;586;41017;200;171;52286;197;180;53468;79;49689;69;47890
5798986;6016698;584;40879;200;169;52148;197;178;53330;79;49955;69;48156
5798987;6016698;588;41135;200;173;52404;200;173;57672;82;50414;71;48616
5798988;6016698;582;40728;212;186;51644;204;190;53055;77;49649;67;47850
5800879;6016698;551;38581;139;112;48701;141;108;48701;65;46849;56;46826
5800880;6016698;555;38859;145;116;48980;147;112;48980;66;47124;57;47102
5800881;6016698;617;43184;188;158;54402;197;167;55583;64;46752;55;46730
5800882;6016698;584;40872;188;155;52440;191;164;53622;82;53926;71;53904
5800883;6016698;584;40908;188;155;52476;191;164;53658;81;53703;70;53681
5800884;6016698;583;40829;163;134;51564;179;143;52745;76;51712;66;51690
5800885;6016698;580;40565;157;131;51336;179;140;52518;75;51415;65;51393
5800886;6016698;577;40417;157;133;51480;179;142;52661;78;51706;68;51683
5800887;6016698;579;40538;163;137;51753;179;146;52935;78;51790;68;51768
5800888;6016698;571;39996;188;157;51265;182;156;56532;78;48981;68;47183
5800889;6016698;577;40399;194;162;51669;188;162;56936;78;49570;68;47772
5800890;6016698;578;40475;194;164;51745;188;163;57012;80;49483;70;47684
5800891;6016698;581;40686;200;167;51956;194;166;57223;77;49360;67;47561
5800892;6016698;580;40623;194;166;51893;194;165;57160;79;49834;69;48035
5800893;6016698;583;40784;200;168;52054;194;168;57321;81;50375;71;48576
5800894;6016698;581;40638;212;184;51553;204;189;52964;77;49655;67;47856
5800895;6016698;577;40398;212;181;51313;201;188;50038;77;49555;67;47757
5802783;6016698;550;38482;139;111;48603;141;107;48603;66;46846;57;46823
5802784;6016698;548;38363;139;109;48484;136;105;48484;68;46816;59;46794
5802785;6016698;552;38642;139;113;48762;141;109;48762;62;46322;53;46300
5802786;6016698;586;41009;188;157;52578;194;166;53759;63;46504;55;46482
5802787;6016698;582;40772;188;153;52340;191;162;53522;79;53737;69;53715
