from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5785640;5785643;54;3764;54;54;3764;54;54;3764;30;10372;29;10370
5785641;5785643;57;3969;57;57;3969;57;57;3969;31;10583;29;10581
5785642;5785643;58;4087;58;58;4087;58;58;4087;39;15915;38;15915
5785643;5785643;0;0;0;0;0;0;0;0;0;0;0;0
5787544;5785643;47;3274;47;47;3274;47;47;3274;30;9946;28;9944
5787545;5785643;48;3343;48;48;3343;48;48;3343;33;10233;31;10231
5787546;5785643;51;3569;51;51;3569;51;51;3569;37;14941;35;14941
5787547;5785643;64;4468;64;64;4468;64;64;4468;35;15332;34;15332
5787548;5785643;60;4196;60;60;4196;60;60;4196;34;15454;33;15454
5787549;5785643;64;4488;64;64;4488;64;64;4488;36;15697;35;15697
5787550;5785643;149;10445;149;149;10445;149;149;10445;12;950;12;950
5789447;5785643;56;3944;56;56;3944;56;56;3944;31;10714;29;10712
5789448;5785643;60;4225;60;60;4225;60;60;4225;32;11079;30;11077
5789449;5785643;65;4573;65;65;4573;65;65;4573;32;11505;30;11503
5789450;5785643;50;3510;50;50;3510;50;50;3510;36;11823;34;11821
5789451;5785643;51;3549;51;51;3549;51;51;3549;32;10193;30;10191
5789452;5785643;72;5040;72;72;5040;72;72;5040;35;14840;34;14840
5789453;5785643;67;4674;67;67;4674;67;67;4674;34;15017;33;15017
5789454;5785643;64;4478;64;64;4478;64;64;4478;34;15281;33;15281
5789455;5785643;73;5108;73;73;5108;73;73;5108;36;15502;35;15502
5789456;5785643;147;10285;147;147;10285;147;147;10285;10;861;10;861
5791353;5785643;64;4490;64;64;4490;64;64;4490;31;11129;28;11128
5791354;5785643;61;4258;61;61;4258;61;61;4258;30;10895;28;10894
5791355;5785643;61;4288;61;61;4288;61;61;4288;31;11076;28;11074
5791356;5785643;66;4635;66;66;4635;66;66;4635;34;11701;31;11699
5791357;5785643;71;4960;71;71;4960;71;71;4960;36;11815;34;11813
5791358;5785643;76;5297;76;76;5297;76;76;5297;35;14335;34;14335
5791359;5785643;72;5022;72;72;5022;72;72;5022;34;14658;32;14658
5791360;5785643;69;4831;69;69;4831;69;69;4831;35;15026;34;15026
5791361;5785643;70;4907;70;70;4907;70;70;4907;37;15380;36;15380
5791362;5785643;75;5218;75;75;5218;75;75;5218;38;15689;37;15689
5791363;5785643;147;10280;147;147;10280;147;147;10280;13;1186;13;1186
5793258;5785643;70;4876;70;70;4876;70;70;4876;31;11568;29;11567
5793259;5785643;65;4576;65;65;4576;65;65;4576;32;11409;30;11407
5793260;5785643;66;4610;66;66;4610;66;66;4610;33;11372;31;11371
5793261;5785643;65;4571;65;65;4571;65;65;4571;31;11153;28;11151
5793262;5785643;67;4677;67;67;4677;67;67;4677;33;11578;31;11576
5793263;5785643;84;5889;82;73;5890;83;73;5890;38;12684;36;12682
5793264;5785643;81;5699;81;81;5699;81;81;5699;35;14279;34;14279
5793265;5785643;74;5194;74;74;5194;74;74;5194;34;14611;33;14611
5793266;5785643;75;5254;75;75;5254;75;75;5254;37;14809;36;14809
5793267;5785643;72;5068;72;72;5068;72;72;5068;40;15604;39;15604
5793268;5785643;78;5465;78;78;5465;78;78;5465;40;15830;39;15830
5793269;5785643;162;11341;162;162;11341;162;162;11341;37;14642;35;14642
5793270;5785643;159;11160;159;159;11160;159;159;11160;17;3893;17;3893
5795164;5785643;71;4951;71;71;4951;71;71;4951;32;11692;30;11691
5795165;5785643;72;5033;72;72;5033;72;72;5033;37;14716;35;13467
5795166;5785643;71;4963;71;71;4963;71;71;4963;38;14566;35;13316
5795167;5785643;71;4971;71;71;4971;71;71;4971;32;11704;30;11702
5795168;5785643;70;4868;70;70;4868;70;70;4868;34;12266;31;12264
5795169;5785643;81;5702;78;70;5703;81;70;5703;36;12488;34;12486
5795170;5785643;81;5698;81;81;5698;81;81;5698;33;14018;31;14018
5795171;5785643;77;5394;77;77;5394;77;77;5394;34;14319;33;14319
5795172;5785643;78;5433;78;78;5433;78;78;5433;36;14761;35;14761
5795173;5785643;81;5662;81;81;5662;81;81;5662;37;14852;36;14852
5795174;5785643;92;6451;92;92;6451;92;92;6451;35;14486;34;14486
5795175;5785643;91;6388;91;91;6388;91;91;6388;36;14623;35;14623
5795176;5785643;160;11196;160;160;11196;160;160;11196;18;5215;17;5215
5797069;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5797070;5785643;74;5150;74;74;5150;74;74;5150;33;11971;31;11969
5797071;5785643;75;5266;75;75;5266;75;75;5266;36;14619;33;13369
5797072;5785643;76;5344;75;69;5621;76;69;5621;35;14335;33;13086
5797073;5785643;73;5145;72;65;5374;73;65;5374;35;14420;32;13170
5797074;5785643;76;5309;73;64;5310;75;64;5310;33;12037;30;12035
5797075;5785643;79;5517;76;67;5518;78;67;5518;35;12369;32;12367
5797076;5785643;83;5800;83;83;5800;83;83;5800;33;13965;32;13965
5797077;5785643;82;5741;82;82;5741;82;82;5741;37;14397;36;14397
5797078;5785643;84;5858;84;84;5858;84;84;5858;38;14934;37;14934
5797079;5785643;89;6210;89;89;6210;89;89;6210;36;14771;35;14771
5797080;5785643;89;6255;89;89;6255;89;89;6255;32;13982;31;13982
5797081;5785643;89;6241;89;89;6241;89;89;6241;36;14602;35;14602
5797082;5785643;158;11060;156;138;14262;155;138;14262;17;5201;17;5201
5798974;5785643;88;6189;88;88;6189;88;88;6189;35;13279;32;13277
5798975;5785643;79;5510;79;79;5510;79;79;5510;33;12318;31;12316
5798976;5785643;79;5504;79;79;5504;79;79;5504;36;12206;33;12204
5798977;5785643;79;5511;79;79;5511;79;79;5511;37;14659;34;13409
5798978;5785643;83;5805;79;68;5811;82;68;5811;35;14130;32;12880
5798979;5785643;79;5511;74;65;5609;77;65;5609;35;14488;33;13238
5798980;5785643;77;5403;74;66;5404;76;66;5404;34;12400;32;12398
5798981;5785643;84;5902;80;71;5994;83;71;5994;36;12788;34;12786
5798982;5785643;81;5675;81;81;5675;81;81;5675;32;13825;31;13825
5798983;5785643;79;5549;79;79;5549;79;79;5549;34;13765;33;13765
5798984;5785643;79;5542;79;79;5542;79;79;5542;36;13757;35;13757
5798985;5785643;84;5907;84;84;5907;84;84;5907;33;13649;32;13649
5798986;5785643;82;5769;82;82;5769;82;82;5769;33;13915;32;13915
