from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5785640;5785642;50;3471;50;50;3471;50;50;3471;33;12167;31;12167
5785641;5785642;53;3676;53;53;3676;53;53;3676;33;12378;31;12378
5785642;5785642;0;0;0;0;0;0;0;0;0;0;0;0
5785643;5785642;58;4087;58;58;4087;58;58;4087;39;15915;38;15915
5787544;5785642;43;2981;43;43;2981;43;43;2981;32;11742;30;11742
5787545;5785642;44;3050;44;44;3050;44;44;3050;35;12028;33;12028
5787546;5785642;47;3276;47;47;3276;47;47;3276;14;1855;14;1855
5787547;5785642;60;4175;60;60;4175;60;60;4175;12;1382;11;1382
5787548;5785642;56;3903;56;56;3903;56;56;3903;10;1046;10;1046
5787549;5785642;60;4195;60;60;4195;60;60;4195;11;873;11;873
5787550;5785642;145;10152;145;145;10152;145;145;10152;37;15714;35;15714
5789447;5785642;52;3652;52;52;3652;52;52;3652;26;9123;25;9123
5789448;5785642;56;3932;56;56;3932;56;56;3932;26;8806;25;8806
5789449;5785642;61;4280;61;61;4280;61;61;4280;26;9049;25;9049
5789450;5785642;46;3218;46;46;3218;46;46;3218;30;9367;28;9367
5789451;5785642;47;3256;47;47;3256;47;47;3256;35;11989;33;11989
5789452;5785642;68;4747;68;68;4747;68;68;4747;13;1791;13;1791
5789453;5785642;63;4381;63;63;4381;63;63;4381;10;1353;10;1353
5789454;5785642;60;4185;60;60;4185;60;60;4185;10;1206;10;1206
5789455;5785642;69;4815;69;69;4815;69;69;4815;12;1926;12;1926
5789456;5785642;143;9992;143;143;9992;143;143;9992;35;15624;33;15624
5791353;5785642;60;4198;60;60;4198;60;60;4198;27;9967;26;9967
5791354;5785642;57;3965;57;57;3965;57;57;3965;25;9060;24;9060
5791355;5785642;57;3995;57;57;3995;57;57;3995;24;8620;23;8620
5791356;5785642;62;4342;62;62;4342;62;62;4342;26;8773;25;8773
5791357;5785642;67;4667;67;67;4667;67;67;4667;30;9359;29;9359
5791358;5785642;71;5004;71;71;5004;71;71;5004;14;2368;14;2368
5791359;5785642;68;4729;68;68;4729;68;68;4729;11;1725;11;1725
5791360;5785642;65;4538;65;65;4538;65;65;4538;12;1567;12;1567
5791361;5785642;66;4614;66;66;4614;66;66;4614;13;1805;13;1805
5791362;5785642;70;4925;70;70;4925;70;70;4925;15;2113;15;2113
5791363;5785642;143;9987;143;143;9987;143;143;9987;36;15520;35;15520
5793258;5785642;65;4583;65;65;4583;65;65;4583;26;9733;25;9733
5793259;5785642;61;4283;61;61;4283;61;61;4283;28;9573;26;9573
5793260;5785642;62;4318;62;62;4318;62;62;4318;27;8986;26;8986
5793261;5785642;61;4278;61;61;4278;61;61;4278;24;8496;23;8496
5793262;5785642;63;4384;63;63;4384;63;63;4384;26;8595;24;8595
5793263;5785642;80;5596;78;69;5597;79;69;5597;28;8500;27;8500
5793264;5785642;77;5406;77;77;5406;77;77;5406;14;2404;14;2404
5793265;5785642;70;4901;70;70;4901;70;70;4901;12;1849;12;1849
5793266;5785642;71;4962;71;71;4962;71;71;4962;15;2355;15;2355
5793267;5785642;68;4775;68;68;4775;68;68;4775;17;2028;17;2028
5793268;5785642;74;5172;74;74;5172;74;74;5172;17;2254;17;2254
